region_code,n_schools,control_schools,treatment_schools,pct_control,pct_treatment,enrolled_jhs,philiri_bosy_enrolled,philiri_bosy_assessed,philiri_bosy_assessment_rate,rma_bosy_enrolled,rma_bosy_assessed,rma_bosy_assessment_rate,philiri_eosy_enrolled,philiri_eosy_assessed,philiri_eosy_assessment_rate,rma_eosy_enrolled,rma_eosy_assessed,rma_eosy_assessment_rate,compliance_denominator,n_compliant,compliance_rate
11,37,33,4,89.189186,10.810811,7683,8090,7961,98.405441,8043,7889,98.085289,8152,7634,93.645729,8172,7766,95.031815,37,4,10.810811
15,48,37,11,77.083336,22.916666,143203,135084,130461,96.577682,133434,130768,98.002007,132043,101137,76.593987,130945,127485,97.357666,48,11,22.916666
4,38,34,4,89.473686,10.526316,107293,106698,104429,97.873436,104486,103935,99.472656,99968,92874,92.903732,101572,98265,96.744179,38,4,10.526316
5,87,71,16,81.609192,18.390804,41197,39982,39287,98.261719,38815,38469,99.108589,39119,36583,93.51722,38770,37835,97.588341,87,16,18.390804
7,48,42,6,87.5,12.5,13633,13942,13617,97.668915,13878,13743,99.027237,13401,12468,93.037834,12495,12213,97.743095,48,6,12.5
