"response_id","question_key","raw_response","primary_code","primary_code_label","matching_codes","needs_review"
78,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
79,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
80,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
81,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
82,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
83,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
84,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
85,"why_apply_esc","Just to help us out paying tuition fee",1,"cost_financial_assistance","1",FALSE
86,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
87,"why_apply_esc","To help lessen the tuition fee",1,"cost_financial_assistance","1",FALSE
88,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
89,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
90,"why_apply_esc","para makamura talga at tipid pamasahe katabi lang po school bahay namin",1,"cost_financial_assistance","1;2;3",TRUE
91,"why_apply_esc","I applied for the ESC/Voucher grant to ease the financial burden on my parents. This subsidy will allow me to continue receiving quality private education at this school without causing a heavy financial strain on my family's budget.",1,"cost_financial_assistance","1;3;4",TRUE
92,"why_apply_esc","so that at least a little bit of tuition fee can be reduced",1,"cost_financial_assistance","1",FALSE
93,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
94,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
95,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
96,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
97,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
98,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
99,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
100,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
101,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
102,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
103,"why_apply_esc","Because the school recommended this ESC",3,"school_quality_private_opportunity","3;4",TRUE
104,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
105,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
106,"why_apply_esc","I am a widow. at the same time I have a special child at the same time this is the program of Government to us as Less fortunate student, lack of finance due to more loans.",1,"cost_financial_assistance","1;7",TRUE
107,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
108,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
109,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
110,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
111,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
112,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
113,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
114,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
115,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
116,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
117,"why_apply_esc","Para mapasama sa bawas tuision",1,"cost_financial_assistance","1",FALSE
118,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
119,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
120,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
121,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
122,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
123,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
124,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
125,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
126,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
127,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
128,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
129,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
130,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
131,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
132,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
133,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
134,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
135,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
136,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
