,Region_Code,Division_Code,Municipality_Code,Full_Division_Code,Full_Municipality_Code,BEIS_School_ID,Implementing_Unit,Modified_COC,School_Type,Enroll_G7_M,Enroll_G7_F,Enroll_G8_M,Enroll_G8_F,Enroll_G9_M,Enroll_G9_F,Enroll_G10_M,Enroll_G10_F,Enroll_SNEd_NGJHS_M,Enroll_SNEd_NGJHS_F,Enroll_Total_JHS_M,Enroll_Total_JHS_F,Enroll_Total_JHS_All,Dropout_Rate_G7_M,Dropout_Rate_G7_F,Dropout_Rate_G8_M,Dropout_Rate_G8_F,Dropout_Rate_G9_M,Dropout_Rate_G9_F,Dropout_Rate_G10_M,Dropout_Rate_G10_F,Dropout_Rate_SNEd_NGJHS_M,Dropout_Rate_SNEd_NGJHS_F,Dropout_Rate_Total_JHS_M,Dropout_Rate_Total_JHS_F,Dropout_Rate_Total_JHS_All,JHS_Instructional_Rooms,JHS_Classroom_Ratio,JHS_Seats,JHS_Seat_Ratio,JHS_Toilet,JHS_Toilet_Ratio,JHS_Computer,JHS_Computer_Ratio,JHS_Teacher,JHS_Teacher_Ratio,Cancel_2016,Cancel_2017,Cancel_2018,Cancel_2019,Cancel_2020,Cancel_2021,Cancel_2022,Cancel_2023,Cancel_Total_20162023,Cancel_Average_20162023,Pilot_Cancel,Pilot_Ratio,Pilot_Shift
180,1,9,6,109,10906,500382,0,1,1,13,8,13,15,17,15,19,11,0,0,62,49,111,0,0,0.1538,0.0667,0.2353,0,0.1053,0,0,0,0.129,0.0204,0.0811,10,10.71,15,8,13,8.33,131,0.847328244,7,15.86,3,0,6,7,2,2,13,6,39,5,1,0,0
181,1,9,6,109,10906,500622,0,1,1,12,13,19,15,14,17,19,22,0,0,64,67,131,0,0,0,0,0.0714,0,0.0526,0,0,0,0.0313,0,0.0153,11,12.15,87,2,19,6.87,27,4.851851852,8,16.38,3,0,6,7,2,2,13,6,39,5,1,0,0
182,1,9,8,109,10908,500388,0,1,1,66,59,64,59,74,68,71,72,0,0,275,258,533,0.0152,0,0,0,0,0,0,0,0,0,0.0036,0,0.0019,19,27.88,287,2,33,16.11,0,-999,16,33.31,3,0,6,7,2,2,13,6,39,5,1,0,0
183,1,9,10,109,10910,500380,0,1,1,31,21,34,40,43,27,37,31,0,0,145,119,264,0,0,0,0,0,0,0,0,0,0,0,0,0,4,69.2,491,1,27,9.89,107,2.46728972,13,20.31,3,0,6,7,2,2,13,6,39,5,1,0,0
184,1,9,14,109,10914,500005,0,1,1,60,76,76,69,97,86,95,66,0,0,328,297,625,0.0333,0.0132,0,0,0.0103,0.0116,0,0.0152,0,0,0.0091,0.0101,0.0096,37,17,662,1,40,15.76,15,41.66666667,30,20.83,3,0,6,7,2,2,13,6,39,5,1,0,0
185,1,9,15,109,10915,500379,0,1,1,37,37,54,43,41,38,35,48,0,0,167,166,333,0.027,0,0.0185,0,0.0488,0,0.0286,0.0208,0,0,0.0299,0.006,0.018,9,36.15,309,1,17,19.58,46,7.239130435,13,25.62,3,0,6,7,2,2,13,6,39,5,1,0,0
186,1,9,16,109,10916,500386,0,1,1,49,34,42,25,43,37,52,29,0,0,186,125,311,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25.71,393,1,26,12.14,81,3.839506173,9,34.56,3,0,6,7,2,2,13,6,39,5,1,0,0
187,1,9,19,109,10919,500004,0,1,1,21,17,30,14,20,17,30,26,0,0,101,74,175,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14.53,524,0,24,7.26,87,2.011494253,9,19.44,3,0,6,7,2,2,13,6,39,5,1,0,0
188,1,9,19,109,10919,500375,0,1,1,39,37,38,54,60,43,45,60,0,0,182,194,376,0,0,0,0,0.05,0,0.0222,0,0,0,0.022,0,0.0106,18,20.37,479,1,21,17.74,84,4.476190476,18,20.89,3,0,6,7,2,2,13,6,39,5,1,0,0
189,1,9,19,109,10919,500377,0,1,1,13,23,25,18,18,13,14,10,0,0,70,64,134,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15.42,457,0,11,12.33,184,0.72826087,7,19.14,3,0,6,7,2,2,13,6,39,5,1,0,0
