school_id,region_code,full_division_code,full_municipality_code,treatment_status,time_point,grade,level_group,reading_category,student_count,english_assessed,percent_of_english_assessed
302156,5,508,50803,Control,BoSY,Grade 7,2-level,frustration,17,101,16.831683168316832
309705,5,503,50330,Control,BoSY,Grade 7,2-level,frustration,4,87,4.597701149425287
500165,5,508,50804,Control,BoSY,Grade 7,2-level,frustration,1,51,1.9607843137254901
301930,5,503,50328,Control,BoSY,Grade 7,2-level,frustration,4,99,4.040404040404041
302177,5,508,50806,Control,BoSY,Grade 7,2-level,frustration,7,114,6.140350877192983
302282,5,513,51301,Control,BoSY,Grade 7,2-level,frustration,20,328,6.097560975609756
502615,5,508,50802,Control,BoSY,Grade 7,2-level,frustration,2,22,9.090909090909092
302263,5,506,50601,Control,BoSY,Grade 7,2-level,frustration,10,66,15.151515151515152
301826,5,501,50103,Control,BoSY,Grade 7,2-level,frustration,3,56,5.357142857142857
305750,5,513,51301,Control,BoSY,Grade 7,2-level,frustration,0,66,0
301870,5,501,50110,Control,BoSY,Grade 7,2-level,frustration,8,124,6.451612903225806
302039,5,503,50316,Control,BoSY,Grade 7,2-level,frustration,28,322,8.695652173913043
301868,5,501,50112,Control,BoSY,Grade 7,2-level,frustration,10,227,4.405286343612334
301963,5,503,50316,Control,BoSY,Grade 7,2-level,frustration,11,219,5.0228310502283104
340567,15,1505,150501,Treatment,BoSY,Grade 7,2-level,frustration,11,267,4.119850187265918
320606,15,1515,151502,Treatment,BoSY,Grade 7,2-level,frustration,29,315,9.206349206349206
320202,15,1511,151101,Treatment,BoSY,Grade 7,2-level,frustration,20,161,12.422360248447205
305310,15,1507,150703,Treatment,BoSY,Grade 7,2-level,frustration,49,304,16.11842105263158
305418,15,1513,151301,Treatment,BoSY,Grade 7,2-level,frustration,109,1277,8.535630383711824
500565,15,1515,151502,Treatment,BoSY,Grade 7,2-level,frustration,103,947,10.876451953537487
301258,4,413,41308,Treatment,BoSY,Grade 7,2-level,frustration,88,548,16.05839416058394
301214,4,411,41101,Treatment,BoSY,Grade 7,2-level,frustration,4,646,0.6191950464396285
301497,4,414,41401,Treatment,BoSY,Grade 7,2-level,frustration,29,444,6.531531531531532
305411,15,1515,151502,Treatment,BoSY,Grade 7,2-level,frustration,73,693,10.533910533910534
305420,15,1513,151301,Treatment,BoSY,Grade 7,2-level,frustration,66,1407,4.690831556503198
