full_municipality_code,n_schools,control_schools,treatment_schools,pct_control,pct_treatment,enrolled_jhs,philiri_bosy_enrolled,philiri_bosy_assessed,philiri_bosy_assessment_rate,rma_bosy_enrolled,rma_bosy_assessed,rma_bosy_assessment_rate,philiri_eosy_enrolled,philiri_eosy_assessed,philiri_eosy_assessment_rate,rma_eosy_enrolled,rma_eosy_assessed,rma_eosy_assessment_rate,compliance_denominator,n_compliant,compliance_rate
41710,2,2,0,100,0,4367,4497,4464,99.266174,4527,4499,99.381493,4504,4245,94.249557,4450,4331,97.325844,2,0,0
41711,1,1,0,100,0,664,590,588,99.661018,626,626,100,616,579,93.993507,626,559,89.297127,1,0,0
41712,1,1,0,100,0,1300,1299,1299,100,1298,1298,100,1371,1289,94.018967,1354,1350,99.704582,1,0,0
41801,2,2,0,100,0,1643,1640,1576,96.097565,1655,1523,92.02417,1645,1645,100,1620,1491,92.037041,2,0,0
42001,1,1,0,100,0,5584,5280,5174,97.992424,5333,5290,99.193703,3530,3530,100,3419,2979,87.130737,1,0,0
42101,1,1,0,100,0,4631,4482,4396,98.081215,4127,3954,95.80809,4189,4144,98.925758,4238,3851,90.868332,1,0,0
42201,1,1,0,100,0,642,629,629,100,629,618,98.25119,609,609,100,631,621,98.415215,1,0,0
50101,1,1,0,100,0,580,527,527,100,522,495,94.827583,496,496,100,509,491,96.463654,1,0,0
50103,1,1,0,100,0,150,173,173,100,49,35,71.428574,173,173,100,174,174,100,1,0,0
50106,1,1,0,100,0,626,637,637,100,634,634,100,635,629,99.055115,628,621,98.885353,1,0,0
50107,1,0,1,0,100,310,318,318,100,318,312,98.113205,316,316,100,320,317,99.0625,1,1,100
50108,1,1,0,100,0,25,82,82,100,84,84,100,88,77,87.5,89,89,100,1,0,0
50110,2,2,0,100,0,708,702,702,100,702,702,100,702,524,74.643875,681,678,99.559471,2,0,0
50111,1,1,0,100,0,294,311,311,100,310,310,100,294,294,100,309,309,100,1,0,0
50112,2,2,0,100,0,1350,1296,1296,100,1295,1248,96.370659,1290,1279,99.147285,1313,1295,98.629097,2,0,0
50113,1,1,0,100,0,315,324,319,98.456787,342,336,98.245613,316,316,100,322,316,98.136642,1,0,0
50205,2,1,1,50,50,884,857,838,97.782967,842,814,96.674583,836,782,93.540672,835,779,93.293411,2,1,50
50206,1,1,0,100,0,262,230,230,100,233,233,100,221,150,67.873306,221,221,100,1,0,0
50302,1,1,0,100,0,522,550,538,97.818184,494,528,106.88259,551,509,92.377495,539,498,92.393318,1,0,0
50305,1,1,0,100,0,994,787,767,97.458702,778,779,100.12853,778,743,95.501282,751,693,92.276962,1,0,0
50306,2,2,0,100,0,1769,1637,1496,91.386681,1588,1547,97.418137,1635,1523,93.149849,1543,1538,99.675957,2,0,0
50310,2,2,0,100,0,359,381,381,100,358,324,90.502792,364,359,98.626373,339,333,98.230087,2,0,0
50311,2,1,1,50,50,480,529,513,96.975426,470,490,104.25532,521,509,97.696739,523,505,96.558319,2,1,50
50314,1,1,0,100,0,698,781,763,97.695259,806,806,100,770,764,99.220779,472,468,99.152542,1,0,0
