school_id,time_point,grade,level_group,english_assessed,summed_category_count,discrepancy_count,has_discrepancy
301214,BoSY,Grade 9,3-level,601,385,-216,TRUE
301214,EoSY,Grade 10,eosy,563,563,0,FALSE
301214,EoSY,Grade 7,eosy,640,640,0,FALSE
301214,EoSY,Grade 8,eosy,503,503,0,FALSE
301214,EoSY,Grade 9,eosy,532,532,0,FALSE
301218,BoSY,Grade 10,2-level,1782,697,-1085,TRUE
301218,BoSY,Grade 10,3-level,1782,483,-1299,TRUE
301218,BoSY,Grade 7,2-level,2259,851,-1408,TRUE
301218,BoSY,Grade 7,3-level,2259,1295,-964,TRUE
301218,BoSY,Grade 8,2-level,2107,722,-1385,TRUE
301218,BoSY,Grade 8,3-level,2107,1221,-886,TRUE
301218,BoSY,Grade 9,2-level,1870,804,-1066,TRUE
301218,BoSY,Grade 9,3-level,1870,530,-1340,TRUE
301218,EoSY,Grade 10,eosy,1156,1156,0,FALSE
301218,EoSY,Grade 7,eosy,2068,2068,0,FALSE
301218,EoSY,Grade 8,eosy,1907,1907,0,FALSE
301218,EoSY,Grade 9,eosy,1267,1267,0,FALSE
301227,BoSY,Grade 10,2-level,1227,278,-949,TRUE
301227,BoSY,Grade 10,3-level,1227,195,-1032,TRUE
301227,BoSY,Grade 7,2-level,1520,750,-770,TRUE
301227,BoSY,Grade 7,3-level,1520,335,-1185,TRUE
301227,BoSY,Grade 8,2-level,1396,470,-926,TRUE
301227,BoSY,Grade 8,3-level,1396,441,-955,TRUE
301227,BoSY,Grade 9,2-level,1031,202,-829,TRUE
301227,BoSY,Grade 9,3-level,1031,182,-849,TRUE
301227,EoSY,Grade 10,eosy,900,900,0,FALSE
301227,EoSY,Grade 7,eosy,989,989,0,FALSE
301227,EoSY,Grade 8,eosy,968,968,0,FALSE
301227,EoSY,Grade 9,eosy,673,673,0,FALSE
301231,BoSY,Grade 10,2-level,189,51,-138,TRUE
301231,BoSY,Grade 10,3-level,189,10,-179,TRUE
301231,BoSY,Grade 7,2-level,236,93,-143,TRUE
301231,BoSY,Grade 7,3-level,236,26,-210,TRUE
301231,BoSY,Grade 8,2-level,238,75,-163,TRUE
