region,division,municipality,school_id,school_name,total_enrolled,total_assessed,emerging_not_proficient,emerging_low_proficient,developing_nearly_proficient,transitioning_proficient,at_grade_level_highly_proficient,total_emerging_not_proficient,total_emerging_low_proficient,total_developing_nearly_proficient,total_transitioning_proficient,total_at_grade_level_highly_proficient,g7_assessed,g7_emerging_not_proficient,g7_emerging_low_proficient,g7_developing_nearly_proficient,g7_transitioning_proficient,g7_at_grade_level_highly_proficient,g8_assessed,g8_emerging_not_proficient,g8_emerging_low_proficient,g8_developing_nearly_proficient,g8_transitioning_proficient,g8_at_grade_level_highly_proficient,g9_assessed,g9_emerging_not_proficient,g9_emerging_low_proficient,g9_developing_nearly_proficient,g9_transitioning_proficient,g9_at_grade_level_highly_proficient,g10_assessed,g10_emerging_not_proficient,g10_emerging_low_proficient,g10_developing_nearly_proficient,g10_transitioning_proficient,g10_at_grade_level_highly_proficient
BARMM,Lanao del Sur - I,Taraka,318109,Ansano Memorial NHS,193,193,0.02072538860103627,0.46113989637305697,0.44559585492227977,0.06735751295336787,0.005181347150259067,4,89,86,13,1,58,0,15,43,0,0,46,0,15,31,0,0,37,0,30,3,4,0,52,4,29,9,9,1
BARMM,Lanao del Sur - I,Taraka,318118,Johayver Maulana NHS,101,101,0,0.08910891089108909,0.6237623762376237,0.28712871287128716,0,0,9,63,29,0,18,0,2,10,6,0,32,0,4,19,9,0,28,0,2,17,9,0,23,0,1,17,5,0
BARMM,Lanao del Sur - I,Taraka,318117,Sultan Malailah NHS,89,89,0,0.35955056179775285,0.5168539325842697,0.12359550561797752,0,0,32,46,11,0,20,0,5,10,5,0,26,0,11,13,2,0,20,0,8,8,4,0,23,0,8,15,0,0
BARMM,Lanao del Sur - I,Wao,304966,Kili-Kili NHS,136,131,0.8931297709923665,0.1068702290076336,0,0,0,117,14,0,0,0,41,28,13,0,0,0,47,47,0,0,0,0,16,15,1,0,0,0,27,27,0,0,0,0
BARMM,Lanao del Sur - I,Wao,318107,Masiricampo Abantas Memorial NHS,672,672,0.24404761904761904,0.34077380952380953,0.3720238095238096,0.04315476190476192,0,164,229,250,29,0,179,41,64,66,8,0,184,48,83,47,6,0,150,39,44,62,5,0,159,36,38,75,10,0
BARMM,Lanao del Sur - I,Wao,318132,Milaya Saripada NHS,127,127,0.9527559055118111,0.047244094488188976,0,0,0,121,6,0,0,0,35,35,0,0,0,0,33,29,4,0,0,0,30,29,1,0,0,0,29,28,1,0,0,0
BARMM,Lanao del Sur - I,Wao,304972,Pagalongan NHS,188,188,0.010638297872340427,0.696808510638298,0.2021276595744681,0.09042553191489361,0,2,131,38,17,0,48,1,35,9,3,0,40,0,23,10,7,0,48,1,36,8,3,0,52,0,37,11,4,0
BARMM,Lanao del Sur - I,Wao,318105,Pagalongan NHS - Annex A,51,51,0.2941176470588236,0.5490196078431374,0.13725490196078433,0.019607843137254898,0,15,28,7,1,0,15,3,9,2,1,0,15,0,10,5,0,0,11,6,5,0,0,0,10,6,4,0,0,0
BARMM,Lanao del Sur - I,Wao,318106,Pagalongan NHS - Annex B,57,57,0.9122807017543858,0.017543859649122806,0.07017543859649121,0,0,52,1,4,0,0,12,7,1,4,0,0,18,18,0,0,0,0,14,14,0,0,0,0,13,13,0,0,0,0
BARMM,Lanao del Sur - I,Wao,318130,Panang NHS,136,136,0.8897058823529411,0.11029411764705882,0,0,0,121,15,0,0,0,48,39,9,0,0,0,38,37,1,0,0,0,23,21,2,0,0,0,27,24,3,0,0,0
BARMM,Lanao del Sur - II,Bacolod-Kalawi (Bacolod Grande),318202,Bacolod Grande NHS,415,369,0.05149051490514906,0.3224932249322493,0.5772357723577236,0.048780487804878044,0,19,119,213,18,0,83,1,35,43,4,0,89,5,24,54,6,0,100,7,25,62,6,0,97,6,35,54,2,0
BARMM,Lanao del Sur - II,Bacolod-Kalawi (Bacolod Grande),304980,Bacolod-Kalawi National High School,656,668,0.3967065868263473,0.5059880239520959,0.09730538922155689,0,0,265,338,65,0,0,211,85,116,10,0,0,172,74,83,15,0,0,145,54,74,17,0,0,140,52,65,23,0,0
BARMM,Lanao del Sur - II,Bacolod-Kalawi (Bacolod Grande),318244,Mamasarogan Mem. NHS,319,314,0.5573248407643312,0.4426751592356688,0,0,0,175,139,0,0,0,77,43,34,0,0,0,89,43,46,0,0,0,84,52,32,0,0,0,64,37,27,0,0,0
BARMM,Lanao del Sur - II,Balabagan,324725,Bae Lalawanun M. Sarip Mem. NHS,389,383,0.06266318537859009,0.4778067885117494,0.39425587467362927,0.05744125326370758,0.007832898172323759,24,183,151,22,3,96,9,25,49,10,3,96,3,38,51,4,0,99,1,61,31,6,0,92,11,59,20,2,0
BARMM,Lanao del Sur - II,Balabagan,324717,Balabagan National High School,102,101,0.2673267326732674,0.514851485148515,0.21782178217821785,0,0,27,52,22,0,0,32,11,14,7,0,0,32,7,16,9,0,0,25,7,15,3,0,0,12,2,7,3,0,0
BARMM,Lanao del Sur - II,Balabagan,324704,Mamenting Memorial National High School,111,111,0.9459459459459458,0.027027027027027035,0.027027027027027035,0,0,105,3,3,0,0,27,23,3,1,0,0,30,29,0,1,0,0,28,27,0,1,0,0,26,26,0,0,0,0
BARMM,Lanao del Sur - II,Balabagan,324705,Mikunug Memorial National High School,178,178,0.21910112359550565,0.10674157303370788,0.32584269662921356,0.26966292134831465,0.07865168539325842,39,19,58,48,14,39,11,2,19,7,0,57,11,0,15,22,9,38,6,11,9,9,3,44,11,6,15,10,2
BARMM,Lanao del Sur - II,Balabagan,502899,Ogka Benito Integrated School,80,80,0.7,0.25,0.05,0,0,56,20,4,0,0,59,37,19,3,0,0,21,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BARMM,Lanao del Sur - II,Balabagan,324708,Sultan Mangalampa Daing NHS,337,337,0.9970326409495548,0,0.002967359050445104,0,0,336,0,1,0,0,82,82,0,0,0,0,91,91,0,0,0,0,82,82,0,0,0,0,82,81,0,1,0,0
BARMM,Lanao del Sur - II,Balabagan,304996,Tataya NHS,174,174,0.8850574712643677,0.09195402298850576,0.02298850574712644,0,0,154,16,4,0,0,34,23,8,3,0,0,42,38,4,0,0,0,43,40,2,1,0,0,55,53,2,0,0,0
BARMM,Lanao del Sur - II,Bayang,304982,Bayang NHS,255,255,0,0.41960784313725497,0.49803921568627446,0.08235294117647059,0,0,107,127,21,0,51,0,24,23,4,0,72,0,36,30,6,0,69,0,27,38,4,0,63,0,20,36,7,0
BARMM,Lanao del Sur - II,Bayang,318238,Datu Mohammad Ali Cahar Memorial National High School,293,272,0,0.3345588235294118,0.3308823529411764,0.20588235294117646,0.12867647058823528,0,91,90,56,35,62,0,31,18,8,5,84,0,28,26,18,12,69,0,13,31,16,9,57,0,19,15,14,9
BARMM,Lanao del Sur - II,Bayang,318201,Mauyag C. Papandayan SHS,139,139,0.32374100719424465,0.510791366906475,0.07194244604316546,0.01438848920863309,0.07913669064748202,45,71,10,2,11,42,18,21,3,0,0,32,15,15,2,0,0,33,1,32,0,0,0,32,11,3,5,2,11
BARMM,Lanao del Sur - II,Butig,304983,Butig National High School,454,449,0.06904231625835187,0.6570155902004454,0.25835189309576845,0.0022271714922049005,0.013363028953229397,31,295,116,1,6,171,5,130,36,0,0,108,0,55,52,1,0,97,0,93,4,0,0,73,26,17,24,0,6
BARMM,Lanao del Sur - II,Calanogas,324713,Aguam-Benito National High School,298,282,0.801418439716312,0.13829787234042556,0.060283687943262415,0,0,226,39,17,0,0,55,53,2,0,0,0,84,67,10,7,0,0,73,54,13,6,0,0,70,52,14,4,0,0
BARMM,Lanao del Sur - II,Calanogas,324714,Sultan Disimban National High School,328,328,0,0.5396341463414634,0.3810975609756098,0.07926829268292683,0,0,177,125,26,0,49,0,27,18,4,0,86,0,40,39,7,0,87,0,52,28,7,0,106,0,58,40,8,0
BARMM,Lanao del Sur - II,Ganassi,304986,Bae Racma Macabato NHS,256,243,0.9588477366255147,0.041152263374485604,0,0,0,233,10,0,0,0,50,50,0,0,0,0,9,9,0,0,0,0,110,105,5,0,0,0,74,69,5,0,0,0
BARMM,Lanao del Sur - II,Ganassi,324720,Bin Al-Noor NHS,156,156,0.9807692307692306,0.01923076923076923,0,0,0,153,3,0,0,0,43,43,0,0,0,0,36,36,0,0,0,0,39,38,1,0,0,0,38,36,2,0,0,0
BARMM,Lanao del Sur - II,Ganassi,324716,Datu Aleem Balindong MNHS,285,252,0,0.5476190476190478,0.4325396825396826,0.019841269841269837,0,0,138,109,5,0,83,0,43,38,2,0,60,0,38,19,3,0,60,0,35,25,0,0,49,0,22,27,0,0
BARMM,Lanao del Sur - II,Ganassi,324709,Ganassi NHS,317,317,0.8580441640378549,0.14195583596214517,0,0,0,272,45,0,0,0,98,80,18,0,0,0,81,54,27,0,0,0,62,62,0,0,0,0,76,76,0,0,0,0
BARMM,Lanao del Sur - II,Kapatagan,318232,Bakikis NHS,93,93,0.8064516129032259,0.1720430107526882,0.02150537634408603,0,0,75,16,2,0,0,11,9,2,0,0,0,23,18,4,1,0,0,23,20,3,0,0,0,36,28,7,1,0,0
BARMM,Lanao del Sur - II,Kapatagan,324719,Mantiin-Macatoman NHS,153,153,0.019607843137254898,0.13725490196078433,0.8431372549019607,0,0,3,21,129,0,0,38,3,8,27,0,0,39,0,7,32,0,0,43,0,6,37,0,0,33,0,0,33,0,0
BARMM,Lanao del Sur - II,Kapatagan,318228,Panawidan Mem. NHS,145,145,0,0.27586206896551735,0.6413793103448276,0.08275862068965517,0,0,40,93,12,0,35,0,6,26,3,0,42,0,11,27,4,0,35,0,16,17,2,0,33,0,7,23,3,0
BARMM,Lanao del Sur - II,Kapatagan,324728,Sultan Barodi Bansil Mem. NHS,169,169,0.9171597633136096,0.08284023668639054,0,0,0,155,14,0,0,0,47,47,0,0,0,0,44,35,9,0,0,0,41,39,2,0,0,0,37,34,3,0,0,0
BARMM,Lanao del Sur - II,Lumbatan,318206,Datu Demaronsing Memorial NHS,301,166,0.4698795180722892,0.5240963855421684,0,0,0.006024096385542169,78,87,0,0,1,42,17,25,0,0,0,40,36,3,0,0,1,43,25,18,0,0,0,41,0,41,0,0,0
BARMM,Lanao del Sur - II,Madalum,324712,Datu Raquib Zainodin National Highschool,459,423,0.17730496453900713,0.14893617021276598,0.09929078014184399,0.1111111111111111,0.463356973995272,75,63,42,47,196,102,25,13,7,14,43,121,17,18,8,20,58,102,16,19,16,7,44,98,17,13,11,6,51
