region,division,municipality,school_id,school_name,total_enrolled,total_assessed,emerging_not_proficient,emerging_low_proficient,developing_nearly_proficient,transitioning_proficient,at_grade_level_highly_proficient,total_emerging_not_proficient,total_emerging_low_proficient,total_developing_nearly_proficient,total_transitioning_proficient,total_at_grade_level_highly_proficient,g7_assessed,g7_emerging_not_proficient,g7_emerging_low_proficient,g7_developing_nearly_proficient,g7_transitioning_proficient,g7_at_grade_level_highly_proficient,g8_assessed,g8_emerging_not_proficient,g8_emerging_low_proficient,g8_developing_nearly_proficient,g8_transitioning_proficient,g8_at_grade_level_highly_proficient,g9_assessed,g9_emerging_not_proficient,g9_emerging_low_proficient,g9_developing_nearly_proficient,g9_transitioning_proficient,g9_at_grade_level_highly_proficient,g10_assessed,g10_emerging_not_proficient,g10_emerging_low_proficient,g10_developing_nearly_proficient,g10_transitioning_proficient,g10_at_grade_level_highly_proficient
Region V,Naga City,City of Naga,305875,Sta. Cruz National High School,678,641,0.4461778471138846,0.3853354134165366,0.15444617784711395,0.014040561622464899,0,286,247,99,9,0,160,12,65,77,6,0,164,91,59,13,1,0,145,83,53,7,2,0,172,100,70,2,0,0
Region V,Naga City,City of Naga,310301,Tinago National High School,758,700,0.8014285714285716,0.19,0.005714285714285714,0.0028571428571428567,0,561,133,4,2,0,214,151,60,3,0,0,165,96,66,1,2,0,151,151,0,0,0,0,170,163,7,0,0,0
Region V,Sorsogon,Barcelona,502338,Alegria Integrated School,105,105,0.16190476190476188,0.49523809523809526,0.3333333333333332,0.009523809523809525,0,17,52,35,1,0,35,13,15,7,0,0,31,2,16,13,0,0,21,2,15,4,0,0,18,0,6,11,1,0
Region V,Sorsogon,Barcelona,302184,Barcelona National Comprehensive High School,938,928,0.3922413793103448,0.4493534482758621,0.10775862068965518,0.0355603448275862,0.015086206896551728,364,417,100,33,14,281,71,117,53,26,14,237,69,121,40,7,0,219,122,92,5,0,0,191,102,87,2,0,0
Region V,Sorsogon,Barcelona,302218,Celso F. Falcotelo National High School,241,235,0.5574468085106383,0.35744680851063826,0.0723404255319149,0.008510638297872339,0.0042553191489361685,131,84,17,2,1,80,33,36,10,1,0,77,43,27,7,0,0,44,37,7,0,0,0,34,18,14,0,1,1
Region V,Sorsogon,Barcelona,310009,San Antonio National High School,243,243,0.004115226337448559,0.7119341563786008,0.2098765432098765,0.07407407407407408,0,1,173,51,18,0,75,0,39,29,7,0,61,0,51,8,2,0,42,1,27,8,6,0,65,0,56,6,3,0
Region V,Sorsogon,Bulan,302191,Beguin High School,207,153,0.21568627450980393,0.5816993464052288,0.1568627450980392,0.0392156862745098,0.0065359477124183,33,89,24,6,1,53,9,40,4,0,0,59,10,23,20,6,0,40,14,25,0,0,1,1,0,1,0,0,0
Region V,Sorsogon,Bulan,302190,Bulan National High School,2552,2534,0.069060773480663,0.3950276243093923,0.3851617995264404,0.14483030781373324,0.005919494869771114,175,1001,976,367,15,712,22,41,404,231,14,667,5,80,455,126,1,587,62,428,88,9,0,568,86,452,29,1,0
Region V,Sorsogon,Bulan,302193,Butag School of Fisheries,297,278,0,0.9388489208633095,0.05035971223021584,0.010791366906474819,0,0,261,14,3,0,66,0,58,5,3,0,89,0,84,5,0,0,67,0,64,3,0,0,56,0,55,1,0,0
Region V,Sorsogon,Bulan,310001,Cadandanan National High School,197,193,0.7202072538860104,0.25388601036269437,0.025906735751295335,0,0,139,49,5,0,0,55,31,21,3,0,0,52,33,17,2,0,0,45,41,4,0,0,0,41,34,7,0,0,0
