time_point,grade,schools_checked,schools_with_discrepancy
BoSY,Grade 10,10882,0
BoSY,Grade 7,10882,0
BoSY,Grade 8,10882,0
BoSY,Grade 9,10882,0
EoSY,Grade 10,859,0
EoSY,Grade 7,859,0
EoSY,Grade 8,859,0
EoSY,Grade 9,859,0
