time_point,grade,schools_with_assessed_count,total_english_assessed
BoSY,Grade 10,10897,1484138
BoSY,Grade 7,10897,1868824
BoSY,Grade 8,10897,1721801
BoSY,Grade 9,10897,1390656
EoSY,Grade 10,10870,1271276
EoSY,Grade 7,10870,1645187
EoSY,Grade 8,10870,1511152
EoSY,Grade 9,10870,1194669
