row_number_from_source_file,region_code,division_code,municipality_code,full_division_code,full_municipality_code,beis_school_id,implementing_unit,modified_coc,school_type,enroll_g7_m,enroll_g7_f,enroll_g8_m,enroll_g8_f,enroll_g9_m,enroll_g9_f,enroll_g10_m,enroll_g10_f,enroll_sn_ed_ngjhs_m,enroll_sn_ed_ngjhs_f,enroll_total_jhs_m,enroll_total_jhs_f,enroll_total_jhs_all,dropout_rate_g7_m,dropout_rate_g7_f,dropout_rate_g8_m,dropout_rate_g8_f,dropout_rate_g9_m,dropout_rate_g9_f,dropout_rate_g10_m,dropout_rate_g10_f,dropout_rate_sn_ed_ngjhs_m,dropout_rate_sn_ed_ngjhs_f,dropout_rate_total_jhs_m,dropout_rate_total_jhs_f,dropout_rate_total_jhs_all,jhs_instructional_rooms,jhs_classroom_ratio,jhs_seats,jhs_seat_ratio,jhs_toilet,jhs_toilet_ratio,jhs_computer,jhs_computer_ratio,jhs_teacher,jhs_teacher_ratio,cancel_2016,cancel_2017,cancel_2018,cancel_2019,cancel_2020,cancel_2021,cancel_2022,cancel_2023,cancel_total_20162023,cancel_average_20162023,pilot_cancel,pilot_ratio,pilot_shift,randomized_eval_id,rev_status
2590,4,10,1,410,41001,325902,0,2,1,317,282,283,257,321,295,292,320,0,0,1213,1154,2367,0.0126,0.0177,0.028300000000000002,0.0272,0.024900000000000002,0.020300000000000002,0.0342,0.0031,0,0,0.0247,0.0165,0.0207,58,40.58,-999,1,61,39,780,3.0346153849999995,94,25.18,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2591,4,10,1,410,41001,328201,0,2,2,306,284,317,280,335,347,352,397,0,0,1310,1308,2618,0.0327,0.0141,0.0063,0.025,0.0597,0.0144,0.011399999999999999,0.0126,0,0,0.0275,0.0161,0.0218,51,51.290000000000006,-999,1,31,85.49000000000001,83,31.54216867,130,20.14,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2592,4,8,1,408,40801,301199,1,2,1,184,116,159,151,194,152,182,133,0,0,719,552,1271,0.0109,0.025900000000000003,0.0063,0.026500000000000003,0.0567,0.0197,0.0385,0.0226,0,0,0.029199999999999997,0.0236,0.0268,21,60.97,834,2,27,46.9,262,4.851145037999999,41,31,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2593,4,8,2,408,40802,301166,0,2,1,280,278,278,287,303,290,295,299,0,0,1156,1154,2310,0.017900000000000003,0.0036,0.0216,0.020900000000000002,0.0627,0.0345,0.0271,0.0201,0,0,0.0329,0.0199,0.026400000000000003,46,49.730000000000004,-999,1,57,40.690000000000005,212,10.89622642,72,32.08,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2594,4,8,5,408,40805,301200,0,2,1,109,81,105,106,108,89,106,90,0,0,428,366,794,0.06420000000000001,0,0.0286,0.009399999999999999,0.07410000000000001,0.0674,0.0377,0.0333,0,0,0.0514,0.0273,0.0403,14,58.71,796,1,20,39.92,154,5.155844155999999,30,26.47,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2595,4,8,5,408,40805,301201,0,2,1,216,240,251,228,267,256,304,287,0,0,1038,1011,2049,0.0509,0.0208,0.0239,0.021900000000000003,0.0487,0.0273,0.023,0.0035,0,0,0.0356,0.0178,0.0268,21,99.23,847,2,14,141.76,25,81.96000000000001,83,24.69,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2596,4,8,6,408,40806,301189,0,2,1,457,405,444,422,528,501,523,517,0,0,1952,1845,3797,0.0656,0.022199999999999998,0.0495,0.0284,0.054900000000000004,0.024,0.0287,0.0251,0,0,0.0492,0.024900000000000002,0.037399999999999996,66,57.56,-999,1,40,95.02,1237,3.0695230400000004,157,24.18,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2597,4,8,7,408,40807,301175,0,2,2,267,231,275,299,258,288,299,298,0,0,1099,1116,2215,0.015,0.0087,0.0618,0.0301,0.0504,0.013900000000000001,0.0468,0.0168,0,0,0.0437,0.017900000000000003,0.030699999999999998,41,54.4,-999,1,65,34.07,217,10.207373269999998,80,27.69,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,2597,0
2598,4,8,12,408,40812,301180,1,2,1,682,618,780,640,849,784,691,795,0,0,3002,2837,5839,0.0323,0.0178,0.0397,0.0125,0.0342,0.023,0.0246,0.013800000000000002,0,0,0.033,0.016900000000000002,0.0252,97,60.220000000000006,-999,2,115,50.83,116,50.3362069,229,25.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2599,4,8,12,408,40812,301193,1,2,1,160,155,201,196,206,223,210,233,0,0,777,807,1584,0.0625,0.0194,0.054700000000000006,0.0204,0.07770000000000002,0.0448,0.0952,0.021500000000000002,0,0,0.0734,0.0273,0.0499,36,44.14,-999,1,52,30.650000000000002,210,7.542857143,61,25.97,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2600,4,8,12,408,40812,301202,1,2,1,149,151,173,169,179,161,172,198,0,0,673,679,1352,0.047,0.026500000000000003,0.0231,0.0178,0.0168,0.0124,0.017400000000000002,0.0101,0,0,0.025300000000000003,0.0162,0.0207,16,83.73,944,1,25,54.18,89,15.191011239999998,34,39.760000000000005,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,2600,0
2601,4,8,14,408,40814,301167,0,2,1,771,754,825,779,836,861,804,764,0,0,3236,3158,6394,0.0415,0.026500000000000003,0.0558,0.0424,0.0419,0.030199999999999998,0.054700000000000006,0.017,0,0,0.0485,0.029099999999999997,0.0389,119,53.75,-999,1,96,66.32,1597,4.003757044,161,39.71,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2602,4,8,14,408,40814,301218,0,2,1,951,911,914,916,1033,1053,1064,1118,0,0,3962,3998,7960,0.0368,0.0274,0.050300000000000004,0.0218,0.0387,0.019,0.0329,0.0224,0,0,0.0394,0.0225,0.0309,114,69.73,-999,1,60,133.43,68,117.0588235,253,31.459999999999997,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,2602,0
2603,4,13,1,413,41301,301265,1,2,1,178,174,183,178,215,203,216,230,0,0,792,785,1577,0,0,0,0,0,0,0,0,0,0,0,0,0,37,42.190000000000005,-999,1,43,36.57,223,7.071748879,61,25.85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,2603,0
2604,4,13,2,413,41302,301231,0,2,1,87,72,102,90,105,107,92,100,0,0,386,369,755,0.0115,0,0.0196,0,0.0095,0.0093,0,0.02,0,0,0.0104,0.0081,0.0093,11,71.14999999999999,346,2,33,23.130000000000003,245,3.0816326529999998,37,20.41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,2604,0
2605,4,13,4,413,41304,301240,1,2,2,203,167,212,172,238,200,226,232,0,0,879,771,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,29,57.21,532,3,21,77.52,439,3.758542141,65,25.38,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2606,4,13,8,413,41308,301258,1,2,1,212,184,224,216,250,208,214,222,0,0,900,830,1730,0,0,0,0,0,0,0,0,0,0,0,0,0,29,59.1,-999,1,30,57.94,281,6.156583629999999,68,25.439999999999998,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,2606,1
2607,4,13,8,413,41308,301276,1,2,1,108,100,122,150,140,118,148,117,0,0,518,485,1003,0,0,0.0082,0.013300000000000001,0.035699999999999996,0.0424,0.013500000000000002,0.0171,0,0,0.015399999999999999,0.018600000000000002,0.016900000000000002,2,493,350,3,16,61.63,51,19.666666669999998,37,27.110000000000003,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2608,4,13,10,413,41310,301243,0,2,1,126,117,137,134,133,134,154,159,0,0,550,544,1094,0,0,0,0,0,0,0,0,0,0,0,0,0,26,41.720000000000006,-999,1,25,44.18,206,5.310679612,38,28.79,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2609,4,13,11,413,41311,307905,1,2,1,217,213,265,269,249,264,231,255,0,0,962,1001,1963,0.013800000000000002,0.0188,0.034,0.0074,0.0241,0.011399999999999999,0.034600000000000006,0.0196,0,0,0.027,0.014,0.0204,23,83.85,-999,1,42,46.2,325,6.04,54,36.349999999999994,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2610,4,13,12,413,41312,307906,0,2,1,146,160,146,144,146,127,179,186,0,0,617,617,1234,0.0068000000000000005,0,0.0479,0.013900000000000001,0.0137,0.0157,0.0056,0.0108,0,0,0.0178,0.009699999999999999,0.013800000000000002,38,32.18,-999,1,40,30.919999999999998,1,1234,74,16.68,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2611,4,16,5,416,41605,301304,1,2,1,218,171,230,202,218,257,265,218,0,0,931,848,1779,0.12390000000000001,0.0409,0.07830000000000001,0.019799999999999998,0.1009,0.0272,0.056600000000000004,0.036699999999999997,0,0,0.0881,0.030699999999999998,0.0607,39,46.190000000000005,889,2,46,38.37,212,8.391509434000001,71,25.06,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
