time_point,school_id,grade,level_group,english_assessed,summed_category_count,discrepancy_count,has_discrepancy,is_in_dlp_randomization_file
BoSY,300009,Grade 9,2-level,8,6,-2,TRUE,FALSE
BoSY,300009,Grade 9,3-level,8,3,-5,TRUE,FALSE
BoSY,300010,Grade 10,2-level,22,14,-8,TRUE,FALSE
BoSY,300010,Grade 10,3-level,22,13,-9,TRUE,FALSE
BoSY,300010,Grade 7,2-level,33,19,-14,TRUE,FALSE
BoSY,300010,Grade 7,3-level,33,17,-16,TRUE,FALSE
BoSY,300010,Grade 8,2-level,34,24,-10,TRUE,FALSE
BoSY,300010,Grade 8,3-level,34,16,-18,TRUE,FALSE
BoSY,300010,Grade 9,2-level,26,18,-8,TRUE,FALSE
BoSY,300010,Grade 9,3-level,26,14,-12,TRUE,FALSE
BoSY,300011,Grade 10,2-level,64,20,-44,TRUE,FALSE
BoSY,300011,Grade 10,3-level,64,49,-15,TRUE,FALSE
BoSY,300011,Grade 7,2-level,76,20,-56,TRUE,FALSE
BoSY,300011,Grade 7,3-level,76,56,-20,TRUE,FALSE
BoSY,300011,Grade 8,2-level,68,21,-47,TRUE,FALSE
BoSY,300011,Grade 8,3-level,68,53,-15,TRUE,FALSE
BoSY,300011,Grade 9,2-level,38,19,-19,TRUE,FALSE
BoSY,300011,Grade 9,3-level,38,22,-16,TRUE,FALSE
BoSY,300012,Grade 10,2-level,52,11,-41,TRUE,FALSE
BoSY,300012,Grade 10,3-level,52,41,-11,TRUE,FALSE
BoSY,300012,Grade 7,2-level,45,17,-28,TRUE,FALSE
BoSY,300012,Grade 7,3-level,45,28,-17,TRUE,FALSE
BoSY,300012,Grade 8,2-level,53,19,-34,TRUE,FALSE
BoSY,300012,Grade 8,3-level,53,34,-19,TRUE,FALSE
BoSY,300012,Grade 9,2-level,22,10,-12,TRUE,FALSE
BoSY,300012,Grade 9,3-level,22,12,-10,TRUE,FALSE
BoSY,300013,Grade 10,2-level,64,16,-48,TRUE,FALSE
BoSY,300013,Grade 10,3-level,64,48,-16,TRUE,FALSE
BoSY,300013,Grade 7,2-level,48,7,-41,TRUE,FALSE
BoSY,300013,Grade 7,3-level,48,41,-7,TRUE,FALSE
BoSY,300013,Grade 8,2-level,46,5,-41,TRUE,FALSE
BoSY,300013,Grade 8,3-level,46,41,-5,TRUE,FALSE
BoSY,300013,Grade 9,2-level,55,24,-31,TRUE,FALSE
BoSY,300013,Grade 9,3-level,55,31,-24,TRUE,FALSE
BoSY,300014,Grade 10,2-level,91,60,-31,TRUE,FALSE
BoSY,300014,Grade 10,3-level,91,35,-56,TRUE,FALSE
BoSY,300014,Grade 7,2-level,89,48,-41,TRUE,FALSE
BoSY,300014,Grade 7,3-level,89,59,-30,TRUE,FALSE
BoSY,300014,Grade 8,2-level,89,38,-51,TRUE,FALSE
BoSY,300014,Grade 8,3-level,89,63,-26,TRUE,FALSE
BoSY,300014,Grade 9,2-level,69,38,-31,TRUE,FALSE
BoSY,300014,Grade 9,3-level,69,38,-31,TRUE,FALSE
BoSY,300015,Grade 10,2-level,227,201,-26,TRUE,FALSE
BoSY,300015,Grade 10,3-level,227,183,-44,TRUE,FALSE
BoSY,300015,Grade 7,2-level,316,294,-22,TRUE,FALSE
BoSY,300015,Grade 7,3-level,316,292,-24,TRUE,FALSE
BoSY,300015,Grade 8,2-level,269,238,-31,TRUE,FALSE
BoSY,300015,Grade 8,3-level,269,116,-153,TRUE,FALSE
BoSY,300015,Grade 9,2-level,212,185,-27,TRUE,FALSE
BoSY,300015,Grade 9,3-level,212,155,-57,TRUE,FALSE
BoSY,300016,Grade 10,2-level,210,201,-9,TRUE,FALSE
BoSY,300016,Grade 10,3-level,210,153,-57,TRUE,FALSE
BoSY,300016,Grade 7,2-level,294,279,-15,TRUE,FALSE
BoSY,300016,Grade 7,3-level,294,239,-55,TRUE,FALSE
BoSY,300016,Grade 8,2-level,219,202,-17,TRUE,FALSE
BoSY,300016,Grade 8,3-level,219,198,-21,TRUE,FALSE
BoSY,300016,Grade 9,2-level,174,165,-9,TRUE,FALSE
BoSY,300016,Grade 9,3-level,174,151,-23,TRUE,FALSE
BoSY,300017,Grade 10,2-level,29,27,-2,TRUE,FALSE
BoSY,300017,Grade 10,3-level,29,6,-23,TRUE,FALSE
BoSY,300017,Grade 7,2-level,39,33,-6,TRUE,FALSE
BoSY,300017,Grade 7,3-level,39,28,-11,TRUE,FALSE
BoSY,300017,Grade 8,2-level,48,24,-24,TRUE,FALSE
BoSY,300017,Grade 8,3-level,48,26,-22,TRUE,FALSE
BoSY,300017,Grade 9,2-level,34,28,-6,TRUE,FALSE
BoSY,300017,Grade 9,3-level,34,26,-8,TRUE,FALSE
BoSY,300018,Grade 10,2-level,252,117,-135,TRUE,FALSE
BoSY,300018,Grade 10,3-level,252,147,-105,TRUE,FALSE
BoSY,300018,Grade 7,2-level,304,58,-246,TRUE,FALSE
BoSY,300018,Grade 7,3-level,304,248,-56,TRUE,FALSE
BoSY,300018,Grade 8,2-level,275,58,-217,TRUE,FALSE
BoSY,300018,Grade 8,3-level,275,221,-54,TRUE,FALSE
BoSY,300018,Grade 9,2-level,195,94,-101,TRUE,FALSE
BoSY,300018,Grade 9,3-level,195,108,-87,TRUE,FALSE
BoSY,300019,Grade 10,2-level,132,124,-8,TRUE,FALSE
BoSY,300019,Grade 10,3-level,132,87,-45,TRUE,FALSE
BoSY,300019,Grade 7,2-level,168,160,-8,TRUE,FALSE
BoSY,300019,Grade 7,3-level,168,100,-68,TRUE,FALSE
BoSY,300019,Grade 8,2-level,122,114,-8,TRUE,FALSE
BoSY,300019,Grade 8,3-level,122,72,-50,TRUE,FALSE
BoSY,300019,Grade 9,2-level,88,84,-4,TRUE,FALSE
BoSY,300019,Grade 9,3-level,88,50,-38,TRUE,FALSE
BoSY,300020,Grade 10,2-level,230,95,-135,TRUE,FALSE
BoSY,300020,Grade 10,3-level,230,136,-94,TRUE,FALSE
BoSY,300020,Grade 7,2-level,262,115,-147,TRUE,FALSE
BoSY,300020,Grade 7,3-level,262,147,-115,TRUE,FALSE
BoSY,300020,Grade 8,2-level,204,52,-152,TRUE,FALSE
BoSY,300020,Grade 8,3-level,204,152,-52,TRUE,FALSE
BoSY,300020,Grade 9,2-level,193,87,-106,TRUE,FALSE
BoSY,300020,Grade 9,3-level,193,108,-85,TRUE,FALSE
BoSY,300021,Grade 10,2-level,80,18,-62,TRUE,FALSE
BoSY,300021,Grade 10,3-level,80,62,-18,TRUE,FALSE
BoSY,300021,Grade 7,2-level,94,60,-34,TRUE,FALSE
BoSY,300021,Grade 7,3-level,94,36,-58,TRUE,FALSE
BoSY,300021,Grade 8,2-level,76,59,-17,TRUE,FALSE
BoSY,300021,Grade 8,3-level,76,26,-50,TRUE,FALSE
BoSY,300021,Grade 9,2-level,63,31,-32,TRUE,FALSE
BoSY,300021,Grade 9,3-level,63,33,-30,TRUE,FALSE
BoSY,300022,Grade 10,2-level,87,60,-27,TRUE,FALSE
BoSY,300022,Grade 10,3-level,87,51,-36,TRUE,FALSE
BoSY,300022,Grade 7,2-level,85,56,-29,TRUE,FALSE
BoSY,300022,Grade 7,3-level,85,37,-48,TRUE,FALSE
BoSY,300022,Grade 8,2-level,66,45,-21,TRUE,FALSE
BoSY,300022,Grade 8,3-level,66,39,-27,TRUE,FALSE
BoSY,300022,Grade 9,2-level,65,42,-23,TRUE,FALSE
BoSY,300022,Grade 9,3-level,65,33,-32,TRUE,FALSE
BoSY,300023,Grade 10,2-level,67,30,-37,TRUE,FALSE
BoSY,300023,Grade 10,3-level,67,37,-30,TRUE,FALSE
BoSY,300023,Grade 7,2-level,89,18,-71,TRUE,FALSE
BoSY,300023,Grade 7,3-level,89,71,-18,TRUE,FALSE
BoSY,300023,Grade 8,2-level,61,12,-49,TRUE,FALSE
BoSY,300023,Grade 8,3-level,61,49,-12,TRUE,FALSE
BoSY,300023,Grade 9,2-level,62,23,-39,TRUE,FALSE
BoSY,300023,Grade 9,3-level,62,39,-23,TRUE,FALSE
BoSY,300024,Grade 10,2-level,127,87,-40,TRUE,FALSE
BoSY,300024,Grade 10,3-level,127,93,-34,TRUE,FALSE
BoSY,300024,Grade 7,2-level,153,96,-57,TRUE,FALSE
BoSY,300024,Grade 7,3-level,153,83,-70,TRUE,FALSE
BoSY,300024,Grade 8,2-level,129,101,-28,TRUE,FALSE
BoSY,300024,Grade 8,3-level,129,88,-41,TRUE,FALSE
BoSY,300024,Grade 9,2-level,109,78,-31,TRUE,FALSE
BoSY,300024,Grade 9,3-level,109,77,-32,TRUE,FALSE
BoSY,300025,Grade 10,2-level,84,76,-8,TRUE,FALSE
BoSY,300025,Grade 10,3-level,84,29,-55,TRUE,FALSE
BoSY,300025,Grade 7,2-level,87,71,-16,TRUE,FALSE
BoSY,300025,Grade 7,3-level,87,35,-52,TRUE,FALSE
BoSY,300025,Grade 8,2-level,55,48,-7,TRUE,FALSE
BoSY,300025,Grade 8,3-level,55,20,-35,TRUE,FALSE
BoSY,300025,Grade 9,2-level,59,52,-7,TRUE,FALSE
BoSY,300025,Grade 9,3-level,59,22,-37,TRUE,FALSE
BoSY,300026,Grade 10,2-level,69,54,-15,TRUE,FALSE
BoSY,300026,Grade 10,3-level,69,27,-42,TRUE,FALSE
BoSY,300026,Grade 7,2-level,73,54,-19,TRUE,FALSE
BoSY,300026,Grade 7,3-level,73,29,-44,TRUE,FALSE
BoSY,300026,Grade 8,2-level,61,44,-17,TRUE,FALSE
BoSY,300026,Grade 8,3-level,61,25,-36,TRUE,FALSE
BoSY,300026,Grade 9,2-level,56,49,-7,TRUE,FALSE
BoSY,300026,Grade 9,3-level,56,19,-37,TRUE,FALSE
BoSY,300027,Grade 10,2-level,183,128,-55,TRUE,FALSE
BoSY,300027,Grade 10,3-level,183,57,-126,TRUE,FALSE
BoSY,300027,Grade 7,2-level,275,124,-151,TRUE,FALSE
BoSY,300027,Grade 7,3-level,275,151,-124,TRUE,FALSE
BoSY,300027,Grade 8,2-level,230,140,-90,TRUE,FALSE
BoSY,300027,Grade 8,3-level,230,90,-140,TRUE,FALSE
BoSY,300027,Grade 9,2-level,172,165,-7,TRUE,FALSE
BoSY,300027,Grade 9,3-level,172,7,-165,TRUE,FALSE
BoSY,300028,Grade 10,2-level,413,320,-93,TRUE,FALSE
BoSY,300028,Grade 10,3-level,413,292,-121,TRUE,FALSE
BoSY,300028,Grade 7,2-level,421,305,-116,TRUE,FALSE
BoSY,300028,Grade 7,3-level,421,313,-108,TRUE,FALSE
BoSY,300028,Grade 8,2-level,423,291,-132,TRUE,FALSE
BoSY,300028,Grade 8,3-level,423,269,-154,TRUE,FALSE
BoSY,300028,Grade 9,2-level,288,223,-65,TRUE,FALSE
BoSY,300028,Grade 9,3-level,288,178,-110,TRUE,FALSE
