school_id,region_code,full_division_code,full_municipality_code,treatment_status,time_point,grade,proficiency_group,student_count,assessed_count,percent_of_assessed
302177,5,508,50806,Control,BoSY,Grade 7,not proficient,103,115,89.56521739130434
302282,5,513,51301,Control,BoSY,Grade 7,not proficient,0,0,NA
502615,5,508,50802,Control,BoSY,Grade 7,not proficient,22,22,100
302263,5,506,50601,Control,BoSY,Grade 7,not proficient,63,66,95.45454545454545
301826,5,501,50103,Control,BoSY,Grade 7,not proficient,0,0,NA
305750,5,513,51301,Control,BoSY,Grade 7,not proficient,60,63,95.23809523809524
301870,5,501,50110,Control,BoSY,Grade 7,not proficient,104,124,83.87096774193549
302039,5,503,50316,Control,BoSY,Grade 7,not proficient,325,361,90.02770083102493
301868,5,501,50112,Control,BoSY,Grade 7,not proficient,91,201,45.27363184079602
301963,5,503,50316,Control,BoSY,Grade 7,not proficient,144,220,65.45454545454545
340567,15,1505,150501,Treatment,BoSY,Grade 7,not proficient,167,187,89.3048128342246
320606,15,1515,151502,Treatment,BoSY,Grade 7,not proficient,168,308,54.54545454545455
320202,15,1511,151101,Treatment,BoSY,Grade 7,not proficient,154,161,95.65217391304348
305310,15,1507,150703,Treatment,BoSY,Grade 7,not proficient,273,312,87.5
305418,15,1513,151301,Treatment,BoSY,Grade 7,not proficient,1043,1281,81.4207650273224
500565,15,1515,151502,Treatment,BoSY,Grade 7,not proficient,659,856,76.98598130841121
301258,4,413,41308,Treatment,BoSY,Grade 7,not proficient,390,546,71.42857142857143
301214,4,411,41101,Treatment,BoSY,Grade 7,not proficient,33,645,5.116279069767442
301497,4,414,41401,Treatment,BoSY,Grade 7,not proficient,291,445,65.3932584269663
305411,15,1515,151502,Treatment,BoSY,Grade 7,not proficient,439,656,66.92073170731707
305420,15,1513,151301,Treatment,BoSY,Grade 7,not proficient,979,1406,69.63015647226173
301231,4,413,41302,Control,BoSY,Grade 7,not proficient,218,235,92.76595744680851
301188,4,402,40201,Control,BoSY,Grade 7,not proficient,420,454,92.51101321585904
307913,4,413,41309,Control,BoSY,Grade 7,not proficient,241,349,69.05444126074498
500566,15,1507,150710,Control,BoSY,Grade 7,not proficient,742,789,94.04309252217998
305453,15,1510,151001,Control,BoSY,Grade 7,not proficient,699,833,83.91356542617046
305311,15,1507,150702,Control,BoSY,Grade 7,not proficient,276,289,95.50173010380622
301425,4,401,40101,Control,BoSY,Grade 7,not proficient,948,1057,89.68779564806054
301202,4,408,40812,Control,BoSY,Grade 7,not proficient,374,431,86.77494199535963
305412,15,1515,151502,Control,BoSY,Grade 7,not proficient,874,1138,76.80140597539543
308105,4,417,41703,Control,BoSY,Grade 7,not proficient,464,939,49.41427050053248
305341,15,1514,151401,Control,BoSY,Grade 7,not proficient,1263,1496,84.42513368983957
319604,15,1512,151201,Control,BoSY,Grade 7,not proficient,342,385,88.83116883116882
305568,15,1516,151601,Control,BoSY,Grade 7,not proficient,426,478,89.1213389121339
305434,15,1503,150301,Control,BoSY,Grade 7,not proficient,727,960,75.72916666666667
301464,4,417,41710,Control,BoSY,Grade 7,not proficient,585,659,88.77086494688922
305461,15,1515,151502,Control,BoSY,Grade 7,not proficient,325,373,87.1313672922252
305384,15,1501,150101,Control,BoSY,Grade 7,not proficient,470,526,89.35361216730038
301143,4,421,42101,Control,BoSY,Grade 7,not proficient,1083,1241,87.26833199033038
305340,15,1514,151401,Control,BoSY,Grade 7,not proficient,863,1160,74.39655172413794
305302,15,1507,150709,Treatment,BoSY,Grade 7,not proficient,1103,1192,92.53355704697987
308103,4,417,41712,Control,BoSY,Grade 7,not proficient,386,405,95.30864197530865
308130,4,417,41711,Control,BoSY,Grade 7,not proficient,159,185,85.94594594594595
301227,4,420,42001,Control,BoSY,Grade 7,not proficient,1523,1589,95.84644430459409
305334,15,1514,151401,Control,BoSY,Grade 7,not proficient,510,603,84.57711442786069
305367,15,1512,151201,Control,BoSY,Grade 7,not proficient,1102,1188,92.76094276094275
305635,15,1514,151401,Control,BoSY,Grade 7,not proficient,497,554,89.71119133574007
301218,4,408,40814,Control,BoSY,Grade 7,not proficient,2048,2316,88.42832469775475
308501,4,415,41501,Control,BoSY,Grade 7,not proficient,655,695,94.24460431654676
500332,15,1506,150601,Control,BoSY,Grade 7,not proficient,228,315,72.38095238095238
305471,15,1509,150901,Control,BoSY,Grade 7,not proficient,884,1015,87.0935960591133
305376,15,1501,150101,Treatment,BoSY,Grade 7,not proficient,768,848,90.56603773584905
301432,4,417,41705,Control,BoSY,Grade 7,not proficient,542,632,85.75949367088607
305459,15,1515,151502,Control,BoSY,Grade 7,not proficient,920,957,96.1337513061651
305313,15,1507,150708,Control,BoSY,Grade 7,not proficient,591,591,100
301186,4,410,41001,Control,BoSY,Grade 7,not proficient,1582,2144,73.78731343283582
301184,4,410,41001,Control,BoSY,Grade 7,not proficient,1204,1327,90.73097211755841
305295,15,1507,150710,Control,BoSY,Grade 7,not proficient,1100,1342,81.9672131147541
301416,4,422,42201,Control,BoSY,Grade 7,not proficient,165,200,82.5
305450,15,1505,150501,Treatment,BoSY,Grade 7,not proficient,487,523,93.11663479923519
301403,4,416,41606,Control,BoSY,Grade 7,not proficient,205,339,60.471976401179944
301451,4,417,41708,Control,BoSY,Grade 7,not proficient,254,380,66.84210526315789
305338,15,1514,151401,Control,BoSY,Grade 7,not proficient,752,843,89.20521945432978
301257,4,413,41312,Control,BoSY,Grade 7,not proficient,1338,1974,67.78115501519757
305416,15,1513,151301,Control,BoSY,Grade 7,not proficient,721,1063,67.82690498588899
305337,15,1514,151401,Control,BoSY,Grade 7,not proficient,2248,2308,97.4003466204506
305353,15,1514,151401,Control,BoSY,Grade 7,not proficient,313,404,77.47524752475248
301197,4,408,40812,Control,BoSY,Grade 7,not proficient,205,443,46.27539503386004
301236,4,413,41308,Treatment,BoSY,Grade 7,not proficient,276,346,79.76878612716763
305444,15,1516,151601,Control,BoSY,Grade 7,not proficient,436,467,93.36188436830835
320306,15,1503,150301,Control,BoSY,Grade 7,not proficient,782,878,89.06605922551253
301489,4,414,41401,Control,BoSY,Grade 7,not proficient,269,325,82.76923076923077
301507,4,418,41801,Control,BoSY,Grade 7,not proficient,130,130,100
301456,4,417,41710,Control,BoSY,Grade 7,not proficient,558,641,87.05148205928238
301238,4,413,41303,Control,BoSY,Grade 7,not proficient,572,658,86.93009118541033
