time_point,school_id,grade,assessed_count,summed_proficiency_count,discrepancy_count,has_discrepancy,is_in_dlp_randomization_file
BoSY,300022,Grade 9,65,65,0,FALSE,FALSE
BoSY,300023,Grade 10,33,33,0,FALSE,FALSE
BoSY,300023,Grade 7,90,90,0,FALSE,FALSE
BoSY,300023,Grade 8,61,61,0,FALSE,FALSE
BoSY,300023,Grade 9,62,62,0,FALSE,FALSE
BoSY,300024,Grade 10,127,127,0,FALSE,FALSE
BoSY,300024,Grade 7,152,152,0,FALSE,FALSE
BoSY,300024,Grade 8,131,131,0,FALSE,FALSE
BoSY,300024,Grade 9,109,109,0,FALSE,FALSE
BoSY,300025,Grade 10,84,84,0,FALSE,FALSE
BoSY,300025,Grade 7,87,87,0,FALSE,FALSE
BoSY,300025,Grade 8,55,55,0,FALSE,FALSE
BoSY,300025,Grade 9,59,59,0,FALSE,FALSE
BoSY,300026,Grade 10,73,73,0,FALSE,FALSE
BoSY,300026,Grade 7,82,82,0,FALSE,FALSE
BoSY,300026,Grade 8,72,72,0,FALSE,FALSE
BoSY,300026,Grade 9,57,57,0,FALSE,FALSE
BoSY,300027,Grade 10,191,191,0,FALSE,FALSE
BoSY,300027,Grade 7,280,280,0,FALSE,FALSE
BoSY,300027,Grade 8,248,248,0,FALSE,FALSE
BoSY,300027,Grade 9,172,172,0,FALSE,FALSE
BoSY,300028,Grade 10,436,436,0,FALSE,FALSE
BoSY,300028,Grade 7,454,454,0,FALSE,FALSE
BoSY,300028,Grade 8,424,424,0,FALSE,FALSE
BoSY,300028,Grade 9,312,312,0,FALSE,FALSE
BoSY,300029,Grade 10,195,195,0,FALSE,FALSE
BoSY,300029,Grade 7,298,298,0,FALSE,FALSE
BoSY,300029,Grade 8,227,227,0,FALSE,FALSE
BoSY,300029,Grade 9,178,178,0,FALSE,FALSE
BoSY,300030,Grade 10,209,209,0,FALSE,FALSE
BoSY,300030,Grade 7,258,258,0,FALSE,FALSE
BoSY,300030,Grade 8,205,205,0,FALSE,FALSE
BoSY,300030,Grade 9,164,164,0,FALSE,FALSE
BoSY,300031,Grade 10,64,64,0,FALSE,FALSE
BoSY,300031,Grade 7,77,77,0,FALSE,FALSE
BoSY,300031,Grade 8,68,68,0,FALSE,FALSE
BoSY,300031,Grade 9,56,56,0,FALSE,FALSE
BoSY,300032,Grade 10,50,50,0,FALSE,TRUE
BoSY,300032,Grade 7,41,41,0,FALSE,TRUE
BoSY,300032,Grade 8,52,52,0,FALSE,TRUE
BoSY,300032,Grade 9,39,39,0,FALSE,TRUE
BoSY,300033,Grade 10,88,88,0,FALSE,TRUE
BoSY,300033,Grade 7,115,115,0,FALSE,TRUE
BoSY,300033,Grade 8,112,112,0,FALSE,TRUE
BoSY,300033,Grade 9,82,82,0,FALSE,TRUE
BoSY,300034,Grade 10,94,94,0,FALSE,TRUE
BoSY,300034,Grade 7,96,96,0,FALSE,TRUE
BoSY,300034,Grade 8,109,109,0,FALSE,TRUE
BoSY,300034,Grade 9,86,86,0,FALSE,TRUE
BoSY,300035,Grade 10,346,346,0,FALSE,TRUE
BoSY,300035,Grade 7,325,325,0,FALSE,TRUE
BoSY,300035,Grade 8,291,291,0,FALSE,TRUE
BoSY,300035,Grade 9,241,241,0,FALSE,TRUE
BoSY,300036,Grade 10,51,51,0,FALSE,TRUE
BoSY,300036,Grade 7,47,47,0,FALSE,TRUE
BoSY,300036,Grade 8,57,57,0,FALSE,TRUE
BoSY,300036,Grade 9,37,37,0,FALSE,TRUE
BoSY,300037,Grade 10,85,85,0,FALSE,TRUE
BoSY,300037,Grade 7,115,115,0,FALSE,TRUE
BoSY,300037,Grade 8,106,106,0,FALSE,TRUE
BoSY,300037,Grade 9,68,68,0,FALSE,TRUE
BoSY,300038,Grade 10,121,121,0,FALSE,TRUE
BoSY,300038,Grade 7,133,133,0,FALSE,TRUE
BoSY,300038,Grade 8,143,143,0,FALSE,TRUE
BoSY,300038,Grade 9,92,92,0,FALSE,TRUE
BoSY,300039,Grade 10,23,23,0,FALSE,TRUE
BoSY,300039,Grade 7,24,24,0,FALSE,TRUE
BoSY,300039,Grade 8,16,16,0,FALSE,TRUE
BoSY,300039,Grade 9,22,22,0,FALSE,TRUE
BoSY,300040,Grade 10,44,44,0,FALSE,TRUE
BoSY,300040,Grade 7,39,39,0,FALSE,TRUE
BoSY,300040,Grade 8,42,42,0,FALSE,TRUE
BoSY,300040,Grade 9,23,23,0,FALSE,TRUE
