rev_status_label,time_point,grade,level_group,reading_category,total_student_count,total_english_assessed,schools_with_data,percent_of_english_assessed,school_year_point
rev_status 1,BoSY,Grade 9,2-level,frustration,1630,9954,41,16.37532650190878,Start of SY
rev_status 1,BoSY,Grade 9,2-level,grade_ready,1434,9954,41,14.406268836648584,Start of SY
rev_status 1,BoSY,Grade 9,2-level,independent,1121,9954,41,11.261804299778984,Start of SY
rev_status 1,BoSY,Grade 9,2-level,instructional,1577,9954,41,15.842877235282298,Start of SY
rev_status 1,BoSY,Grade 9,3-level,frustration,2131,9954,41,21.408479003415714,Start of SY
rev_status 1,BoSY,Grade 9,3-level,grade_ready,1434,9954,41,14.406268836648584,Start of SY
rev_status 1,BoSY,Grade 9,3-level,independent,783,9954,41,7.8661844484629295,Start of SY
rev_status 1,BoSY,Grade 9,3-level,instructional,1278,9954,41,12.839059674502712,Start of SY
rev_status 1,EoSY,Grade 10,2-level,frustration,1237,9243,41,13.383100724872877,End of SY
rev_status 1,EoSY,Grade 10,2-level,grade_ready,3177,9243,41,34.37195715676728,End of SY
rev_status 1,EoSY,Grade 10,2-level,instructional,4829,9243,41,52.24494211835984,End of SY
rev_status 1,EoSY,Grade 10,3-level,frustration,1237,9243,41,13.383100724872877,End of SY
rev_status 1,EoSY,Grade 10,3-level,grade_ready,3177,9243,41,34.37195715676728,End of SY
rev_status 1,EoSY,Grade 10,3-level,instructional,4829,9243,41,52.24494211835984,End of SY
rev_status 1,EoSY,Grade 7,2-level,frustration,2450,10813,41,22.657911772865994,End of SY
rev_status 1,EoSY,Grade 7,2-level,grade_ready,3761,10813,41,34.78220660316286,End of SY
rev_status 1,EoSY,Grade 7,2-level,instructional,4602,10813,41,42.559881623971144,End of SY
rev_status 1,EoSY,Grade 7,3-level,frustration,2450,10813,41,22.657911772865994,End of SY
rev_status 1,EoSY,Grade 7,3-level,grade_ready,3761,10813,41,34.78220660316286,End of SY
rev_status 1,EoSY,Grade 7,3-level,instructional,4602,10813,41,42.559881623971144,End of SY
rev_status 1,EoSY,Grade 8,2-level,frustration,1811,10457,41,17.318542603041024,End of SY
rev_status 1,EoSY,Grade 8,2-level,grade_ready,4017,10457,41,38.414459213923685,End of SY
rev_status 1,EoSY,Grade 8,2-level,instructional,4629,10457,41,44.266998183035284,End of SY
rev_status 1,EoSY,Grade 8,3-level,frustration,1811,10457,41,17.318542603041024,End of SY
rev_status 1,EoSY,Grade 8,3-level,grade_ready,4017,10457,41,38.414459213923685,End of SY
rev_status 1,EoSY,Grade 8,3-level,instructional,4629,10457,41,44.266998183035284,End of SY
rev_status 1,EoSY,Grade 9,2-level,frustration,1866,8505,41,21.940035273368608,End of SY
rev_status 1,EoSY,Grade 9,2-level,grade_ready,2775,8505,41,32.6278659611993,End of SY
rev_status 1,EoSY,Grade 9,2-level,instructional,3864,8505,41,45.4320987654321,End of SY
rev_status 1,EoSY,Grade 9,3-level,frustration,1866,8505,41,21.940035273368608,End of SY
rev_status 1,EoSY,Grade 9,3-level,grade_ready,2775,8505,41,32.6278659611993,End of SY
rev_status 1,EoSY,Grade 9,3-level,instructional,3864,8505,41,45.4320987654321,End of SY
