school_id,time_point,grade,assessed_count,summed_proficiency_count,discrepancy_count,has_discrepancy
301257,BoSY,Grade 9,1721,1721,0,FALSE
301257,EoSY,Grade 10,1827,1827,0,FALSE
301257,EoSY,Grade 7,1933,1933,0,FALSE
301257,EoSY,Grade 8,1798,1798,0,FALSE
301257,EoSY,Grade 9,1669,1669,0,FALSE
301258,BoSY,Grade 10,472,472,0,FALSE
301258,BoSY,Grade 7,546,546,0,FALSE
301258,BoSY,Grade 8,555,555,0,FALSE
301258,BoSY,Grade 9,387,387,0,FALSE
301258,EoSY,Grade 10,467,467,0,FALSE
301258,EoSY,Grade 7,536,536,0,FALSE
301258,EoSY,Grade 8,539,539,0,FALSE
301258,EoSY,Grade 9,375,375,0,FALSE
301265,BoSY,Grade 10,396,396,0,FALSE
301265,BoSY,Grade 7,412,412,0,FALSE
301265,BoSY,Grade 8,451,451,0,FALSE
301265,BoSY,Grade 9,348,348,0,FALSE
301265,EoSY,Grade 10,373,373,0,FALSE
301265,EoSY,Grade 7,425,425,0,FALSE
301265,EoSY,Grade 8,433,433,0,FALSE
301265,EoSY,Grade 9,328,328,0,FALSE
301403,BoSY,Grade 10,434,434,0,FALSE
301403,BoSY,Grade 7,339,339,0,FALSE
301403,BoSY,Grade 8,514,514,0,FALSE
301403,BoSY,Grade 9,350,350,0,FALSE
301403,EoSY,Grade 10,423,423,0,FALSE
301403,EoSY,Grade 7,548,548,0,FALSE
301403,EoSY,Grade 8,490,490,0,FALSE
301403,EoSY,Grade 9,341,341,0,FALSE
301416,BoSY,Grade 10,125,125,0,FALSE
301416,BoSY,Grade 7,200,200,0,FALSE
301416,BoSY,Grade 8,158,158,0,FALSE
301416,BoSY,Grade 9,135,135,0,FALSE
301416,EoSY,Grade 10,126,126,0,FALSE
301416,EoSY,Grade 7,199,199,0,FALSE
301416,EoSY,Grade 8,161,161,0,FALSE
301416,EoSY,Grade 9,135,135,0,FALSE
301418,BoSY,Grade 10,2668,2668,0,FALSE
301418,BoSY,Grade 7,3468,3468,0,FALSE
301418,BoSY,Grade 8,3060,3060,0,FALSE
301418,BoSY,Grade 9,2590,2590,0,FALSE
301418,EoSY,Grade 10,2487,2487,0,FALSE
301418,EoSY,Grade 7,3110,3110,0,FALSE
301418,EoSY,Grade 8,2800,2800,0,FALSE
301418,EoSY,Grade 9,2300,2300,0,FALSE
301425,BoSY,Grade 10,847,847,0,FALSE
301425,BoSY,Grade 7,1057,1057,0,FALSE
301425,BoSY,Grade 8,1041,1041,0,FALSE
301425,BoSY,Grade 9,809,809,0,FALSE
301425,EoSY,Grade 10,826,826,0,FALSE
301425,EoSY,Grade 7,1032,1032,0,FALSE
301425,EoSY,Grade 8,1020,1020,0,FALSE
301425,EoSY,Grade 9,774,774,0,FALSE
301432,BoSY,Grade 10,489,489,0,FALSE
301432,BoSY,Grade 7,632,632,0,FALSE
301432,BoSY,Grade 8,584,584,0,FALSE
301432,BoSY,Grade 9,477,477,0,FALSE
301432,EoSY,Grade 10,442,442,0,FALSE
301432,EoSY,Grade 7,609,609,0,FALSE
301432,EoSY,Grade 8,552,552,0,FALSE
301432,EoSY,Grade 9,446,446,0,FALSE
301437,BoSY,Grade 10,920,920,0,FALSE
301437,BoSY,Grade 7,1040,1040,0,FALSE
301437,BoSY,Grade 8,1061,1061,0,FALSE
301437,BoSY,Grade 9,920,920,0,FALSE
301437,EoSY,Grade 10,916,916,0,FALSE
301437,EoSY,Grade 7,1040,1040,0,FALSE
301437,EoSY,Grade 8,1061,1061,0,FALSE
301437,EoSY,Grade 9,919,919,0,FALSE
301438,BoSY,Grade 10,450,450,0,FALSE
301438,BoSY,Grade 7,543,543,0,FALSE
301438,BoSY,Grade 8,546,546,0,FALSE
301438,BoSY,Grade 9,456,456,0,FALSE
301438,EoSY,Grade 10,435,435,0,FALSE
301438,EoSY,Grade 7,524,524,0,FALSE
301438,EoSY,Grade 8,514,514,0,FALSE
301438,EoSY,Grade 9,443,443,0,FALSE
301451,BoSY,Grade 10,285,285,0,FALSE
301451,BoSY,Grade 7,380,380,0,FALSE
301451,BoSY,Grade 8,368,368,0,FALSE
301451,BoSY,Grade 9,276,276,0,FALSE
301451,EoSY,Grade 10,280,280,0,FALSE
301451,EoSY,Grade 7,370,370,0,FALSE
301451,EoSY,Grade 8,362,362,0,FALSE
301451,EoSY,Grade 9,254,254,0,FALSE
301456,BoSY,Grade 10,492,492,0,FALSE
301456,BoSY,Grade 7,641,641,0,FALSE
301456,BoSY,Grade 8,659,659,0,FALSE
301456,BoSY,Grade 9,445,445,0,FALSE
301456,EoSY,Grade 10,491,491,0,FALSE
301456,EoSY,Grade 7,642,642,0,FALSE
301456,EoSY,Grade 8,625,625,0,FALSE
301456,EoSY,Grade 9,442,442,0,FALSE
301464,BoSY,Grade 10,546,546,0,FALSE
301464,BoSY,Grade 7,659,659,0,FALSE
301464,BoSY,Grade 8,543,543,0,FALSE
301464,BoSY,Grade 9,514,514,0,FALSE
301464,EoSY,Grade 10,516,516,0,FALSE
301464,EoSY,Grade 7,642,642,0,FALSE
301464,EoSY,Grade 8,476,476,0,FALSE
301464,EoSY,Grade 9,497,497,0,FALSE
301489,BoSY,Grade 10,294,294,0,FALSE
301489,BoSY,Grade 7,325,325,0,FALSE
301489,BoSY,Grade 8,333,333,0,FALSE
301489,BoSY,Grade 9,290,290,0,FALSE
301489,EoSY,Grade 10,293,293,0,FALSE
301489,EoSY,Grade 7,377,377,0,FALSE
301489,EoSY,Grade 8,314,314,0,FALSE
301489,EoSY,Grade 9,292,292,0,FALSE
301497,BoSY,Grade 10,356,356,0,FALSE
301497,BoSY,Grade 7,445,445,0,FALSE
301497,BoSY,Grade 8,377,377,0,FALSE
301497,BoSY,Grade 9,328,328,0,FALSE
301497,EoSY,Grade 10,344,344,0,FALSE
301497,EoSY,Grade 7,424,424,0,FALSE
301497,EoSY,Grade 8,356,356,0,FALSE
301497,EoSY,Grade 9,319,319,0,FALSE
301507,BoSY,Grade 10,130,130,0,FALSE
301507,BoSY,Grade 7,130,130,0,FALSE
301507,BoSY,Grade 8,123,123,0,FALSE
301507,BoSY,Grade 9,123,123,0,FALSE
301507,EoSY,Grade 10,124,124,0,FALSE
301507,EoSY,Grade 7,129,129,0,FALSE
301507,EoSY,Grade 8,121,121,0,FALSE
301507,EoSY,Grade 9,100,100,0,FALSE
301508,BoSY,Grade 10,243,243,0,FALSE
301508,BoSY,Grade 7,258,258,0,FALSE
301508,BoSY,Grade 8,268,268,0,FALSE
301508,BoSY,Grade 9,248,248,0,FALSE
301508,EoSY,Grade 10,233,233,0,FALSE
301508,EoSY,Grade 7,258,258,0,FALSE
301508,EoSY,Grade 8,284,284,0,FALSE
301508,EoSY,Grade 9,242,242,0,FALSE
301816,BoSY,Grade 10,144,144,0,FALSE
301816,BoSY,Grade 7,99,99,0,FALSE
301816,BoSY,Grade 8,141,141,0,FALSE
301816,BoSY,Grade 9,111,111,0,FALSE
301816,EoSY,Grade 10,144,144,0,FALSE
301816,EoSY,Grade 7,111,111,0,FALSE
301816,EoSY,Grade 8,141,141,0,FALSE
301816,EoSY,Grade 9,95,95,0,FALSE
301817,BoSY,Grade 10,100,100,0,FALSE
301817,BoSY,Grade 7,114,114,0,FALSE
301817,BoSY,Grade 8,113,113,0,FALSE
301817,BoSY,Grade 9,79,79,0,FALSE
301817,EoSY,Grade 10,94,94,0,FALSE
301817,EoSY,Grade 7,114,114,0,FALSE
301817,EoSY,Grade 8,92,92,0,FALSE
301817,EoSY,Grade 9,76,76,0,FALSE
301826,BoSY,Grade 10,13,13,0,FALSE
301826,BoSY,Grade 7,0,0,0,FALSE
301826,BoSY,Grade 8,10,10,0,FALSE
301826,BoSY,Grade 9,12,12,0,FALSE
301826,EoSY,Grade 10,40,40,0,FALSE
301826,EoSY,Grade 7,56,56,0,FALSE
301826,EoSY,Grade 8,43,43,0,FALSE
301826,EoSY,Grade 9,35,35,0,FALSE
301834,BoSY,Grade 10,155,155,0,FALSE
301834,BoSY,Grade 7,163,163,0,FALSE
301834,BoSY,Grade 8,178,178,0,FALSE
301834,BoSY,Grade 9,138,138,0,FALSE
301834,EoSY,Grade 10,155,155,0,FALSE
301834,EoSY,Grade 7,161,161,0,FALSE
301834,EoSY,Grade 8,177,177,0,FALSE
301834,EoSY,Grade 9,128,128,0,FALSE
301839,BoSY,Grade 10,71,71,0,FALSE
301839,BoSY,Grade 7,90,90,0,FALSE
301839,BoSY,Grade 8,85,85,0,FALSE
301839,BoSY,Grade 9,64,64,0,FALSE
301839,EoSY,Grade 10,71,71,0,FALSE
301839,EoSY,Grade 7,89,89,0,FALSE
301839,EoSY,Grade 8,85,85,0,FALSE
301839,EoSY,Grade 9,64,64,0,FALSE
301862,BoSY,Grade 10,202,202,0,FALSE
301862,BoSY,Grade 7,247,247,0,FALSE
301862,BoSY,Grade 8,227,227,0,FALSE
301862,BoSY,Grade 9,191,191,0,FALSE
301862,EoSY,Grade 10,196,196,0,FALSE
301862,EoSY,Grade 7,244,244,0,FALSE
301862,EoSY,Grade 8,233,233,0,FALSE
301862,EoSY,Grade 9,191,191,0,FALSE
301868,BoSY,Grade 10,210,210,0,FALSE
301868,BoSY,Grade 7,201,201,0,FALSE
301868,BoSY,Grade 8,240,240,0,FALSE
301868,BoSY,Grade 9,176,176,0,FALSE
301868,EoSY,Grade 10,236,236,0,FALSE
301868,EoSY,Grade 7,231,231,0,FALSE
301868,EoSY,Grade 8,237,237,0,FALSE
301868,EoSY,Grade 9,174,174,0,FALSE
301870,BoSY,Grade 10,116,116,0,FALSE
301870,BoSY,Grade 7,124,124,0,FALSE
301870,BoSY,Grade 8,148,148,0,FALSE
301870,BoSY,Grade 9,67,67,0,FALSE
301870,EoSY,Grade 10,104,104,0,FALSE
301870,EoSY,Grade 7,124,124,0,FALSE
301870,EoSY,Grade 8,138,138,0,FALSE
301870,EoSY,Grade 9,67,67,0,FALSE
301871,BoSY,Grade 10,81,81,0,FALSE
301871,BoSY,Grade 7,73,73,0,FALSE
301871,BoSY,Grade 8,91,91,0,FALSE
301871,BoSY,Grade 9,67,67,0,FALSE
301871,EoSY,Grade 10,82,82,0,FALSE
301871,EoSY,Grade 7,73,73,0,FALSE
301871,EoSY,Grade 8,97,97,0,FALSE
301871,EoSY,Grade 9,65,65,0,FALSE
301887,BoSY,Grade 10,71,71,0,FALSE
301887,BoSY,Grade 7,101,101,0,FALSE
301887,BoSY,Grade 8,72,72,0,FALSE
301887,BoSY,Grade 9,70,70,0,FALSE
