workflow_step,status,completed_at
setup,completed,2026-06-09 14:24:15.281637
clean_dlp_randomization,completed,2026-06-09 14:24:15.281637
clean_philiri,completed,2026-06-09 14:24:15.281637
merge_philiri_to_dlp,completed,2026-06-09 14:24:15.281637
clean_rma,completed,2026-06-09 14:24:15.281637
merge_rma_to_dlp,completed,2026-06-09 14:24:15.281637
create_scores_and_checks,completed,2026-06-09 14:24:15.281637
create_graphs,completed,2026-06-09 14:24:15.281637
