beis_school_id,randomized_eval_id,rev_status,region_code,division_code,municipality_code,full_division_code,full_municipality_code,pilot_cancel,pilot_ratio,pilot_shift,enroll_g7_m,enroll_g7_f,enroll_g8_m,enroll_g8_f,enroll_g9_m,enroll_g9_f,enroll_g10_m,enroll_g10_f,enroll_sn_ed_ngjhs_m,enroll_sn_ed_ngjhs_f,enroll_total_jhs_m,enroll_total_jhs_f,enroll_total_jhs_all,philiri_bosy_total_assessed,philiri_eosy_total_assessed,rma_bosy_total_assessed_calc,rma_eosy_total_assessed_calc,philiri_bosy_grade_7_2level_frustration_pct_eng_assessed,philiri_bosy_grade_7_2level_instructional_pct_eng_assessed,philiri_bosy_grade_7_2level_independent_pct_eng_assessed,philiri_bosy_grade_7_3level_frustration_pct_eng_assessed,philiri_bosy_grade_7_3level_instructional_pct_eng_assessed,philiri_bosy_grade_7_3level_independent_pct_eng_assessed,philiri_bosy_grade_8_2level_frustration_pct_eng_assessed,philiri_bosy_grade_8_2level_instructional_pct_eng_assessed,philiri_bosy_grade_8_2level_independent_pct_eng_assessed,philiri_bosy_grade_8_3level_frustration_pct_eng_assessed,philiri_bosy_grade_8_3level_instructional_pct_eng_assessed,philiri_bosy_grade_8_3level_independent_pct_eng_assessed,philiri_bosy_grade_9_2level_frustration_pct_eng_assessed,philiri_bosy_grade_9_2level_instructional_pct_eng_assessed,philiri_bosy_grade_9_2level_independent_pct_eng_assessed,philiri_bosy_grade_9_3level_frustration_pct_eng_assessed,philiri_bosy_grade_9_3level_instructional_pct_eng_assessed,philiri_bosy_grade_9_3level_independent_pct_eng_assessed,philiri_bosy_grade_10_2level_frustration_pct_eng_assessed,philiri_bosy_grade_10_2level_instructional_pct_eng_assessed,philiri_bosy_grade_10_2level_independent_pct_eng_assessed,philiri_bosy_grade_10_3level_frustration_pct_eng_assessed,philiri_bosy_grade_10_3level_instructional_pct_eng_assessed,philiri_bosy_grade_10_3level_independent_pct_eng_assessed,philiri_eosy_grade_7_eosy_frustration_pct_eng_assessed,philiri_eosy_grade_7_eosy_instructional_pct_eng_assessed,philiri_eosy_grade_7_eosy_independent_pct_eng_assessed,philiri_eosy_grade_8_eosy_frustration_pct_eng_assessed,philiri_eosy_grade_8_eosy_instructional_pct_eng_assessed,philiri_eosy_grade_8_eosy_independent_pct_eng_assessed,philiri_eosy_grade_9_eosy_frustration_pct_eng_assessed,philiri_eosy_grade_9_eosy_instructional_pct_eng_assessed,philiri_eosy_grade_9_eosy_independent_pct_eng_assessed,philiri_eosy_grade_10_eosy_frustration_pct_eng_assessed,philiri_eosy_grade_10_eosy_instructional_pct_eng_assessed,philiri_eosy_grade_10_eosy_independent_pct_eng_assessed,rma_bosy_grade_7_not_proficient_pct_assessed,rma_bosy_grade_7_low_proficient_pct_assessed,rma_bosy_grade_7_nearly_proficient_pct_assessed,rma_bosy_grade_7_proficient_pct_assessed,rma_bosy_grade_7_high_proficient_pct_assessed,rma_bosy_grade_8_not_proficient_pct_assessed,rma_bosy_grade_8_low_proficient_pct_assessed,rma_bosy_grade_8_nearly_proficient_pct_assessed,rma_bosy_grade_8_proficient_pct_assessed,rma_bosy_grade_8_high_proficient_pct_assessed,rma_bosy_grade_9_not_proficient_pct_assessed,rma_bosy_grade_9_low_proficient_pct_assessed,rma_bosy_grade_9_nearly_proficient_pct_assessed,rma_bosy_grade_9_proficient_pct_assessed,rma_bosy_grade_9_high_proficient_pct_assessed,rma_bosy_grade_10_not_proficient_pct_assessed,rma_bosy_grade_10_low_proficient_pct_assessed,rma_bosy_grade_10_nearly_proficient_pct_assessed,rma_bosy_grade_10_proficient_pct_assessed,rma_bosy_grade_10_high_proficient_pct_assessed,rma_eosy_grade_7_not_proficient_pct_assessed,rma_eosy_grade_7_low_proficient_pct_assessed,rma_eosy_grade_7_nearly_proficient_pct_assessed,rma_eosy_grade_7_proficient_pct_assessed,rma_eosy_grade_7_high_proficient_pct_assessed,rma_eosy_grade_8_not_proficient_pct_assessed,rma_eosy_grade_8_low_proficient_pct_assessed,rma_eosy_grade_8_nearly_proficient_pct_assessed,rma_eosy_grade_8_proficient_pct_assessed,rma_eosy_grade_8_high_proficient_pct_assessed,rma_eosy_grade_9_not_proficient_pct_assessed,rma_eosy_grade_9_low_proficient_pct_assessed,rma_eosy_grade_9_nearly_proficient_pct_assessed,rma_eosy_grade_9_proficient_pct_assessed,rma_eosy_grade_9_high_proficient_pct_assessed,rma_eosy_grade_10_not_proficient_pct_assessed,rma_eosy_grade_10_low_proficient_pct_assessed,rma_eosy_grade_10_nearly_proficient_pct_assessed,rma_eosy_grade_10_proficient_pct_assessed,rma_eosy_grade_10_high_proficient_pct_assessed
309906,1071,1,5,8,11,508,50811,1,0,0,62,51,75,65,63,69,57,62,0,0,257,247,504,509,485,515,493,23.846153846153847,5.384615384615385,2.3076923076923075,58.46153846153846,5.384615384615385,4.615384615384615,26.797385620915033,22.22222222222222,39.869281045751634,3.2679738562091503,6.5359477124183005,1.3071895424836601,56.074766355140184,4.672897196261682,2.803738317757009,27.102803738317757,9.345794392523365,0,47.05882352941177,21.84873949579832,7.563025210084033,9.243697478991596,14.285714285714286,0,78.04878048780488,17.073170731707318,4.878048780487805,34.899328859060404,42.95302013422819,22.14765100671141,78.84615384615384,7.6923076923076925,13.461538461538462,8.256880733944953,35.77981651376147,55.96330275229358,96.875,3.125,0,0,0,100,0,0,0,0,92.85714285714286,7.142857142857143,0,0,0,100,0,0,0,0,96.85039370078741,3.1496062992125986,0,0,0,66.44295302013423,32.214765100671144,1.342281879194631,0,0,99.07407407407408,0.9259259259259259,0,0,0,94.4954128440367,5.504587155963303,0,0,0
309934,1047,1,5,8,6,508,50806,1,0,0,30,27,26,19,22,27,15,29,0,0,93,102,195,147,140,146,139,4.651162790697675,25.58139534883721,13.953488372093023,4.651162790697675,18.6046511627907,25.58139534883721,10,22.5,7.5,5,15,35,5.555555555555555,16.666666666666668,25,8.333333333333334,11.11111111111111,25,3.5714285714285716,25,17.857142857142858,7.142857142857143,21.428571428571427,25,11.363636363636363,25,63.63636363636363,5.405405405405405,45.945945945945944,48.648648648648646,3.125,50,46.875,0,7.407407407407407,92.5925925925926,48.83720930232558,41.86046511627907,9.30232558139535,0,0,92.3076923076923,7.6923076923076925,0,0,0,100,0,0,0,0,100,0,0,0,0,2.272727272727273,29.545454545454547,43.18181818181818,25,0,0,17.142857142857142,62.857142857142854,20,0,6.25,40.625,34.375,18.75,0,3.5714285714285716,85.71428571428571,10.714285714285714,0,0
301871,718,1,5,1,7,501,50107,1,0,0,36,32,40,48,37,41,41,35,0,0,154,156,310,318,316,312,317,1.36986301369863,2.73972602739726,4.109589041095891,63.013698630136986,20.54794520547945,8.219178082191782,0,4.081632653061225,4.081632653061225,51.02040816326531,28.571428571428573,12.244897959183673,7.575757575757576,18.181818181818183,12.121212121212121,18.181818181818183,3.0303030303030303,16.666666666666668,7.407407407407407,2.4691358024691357,16.049382716049383,37.03703703703704,18.51851851851852,6.172839506172839,98.61111111111111,1.3888888888888888,0,100,0,0,75.38461538461539,0,24.615384615384617,87.8048780487805,0,12.195121951219512,39.726027397260275,56.16438356164384,4.109589041095891,0,0,57.142857142857146,38.46153846153846,4.395604395604396,0,0,100,0,0,0,0,100,0,0,0,0,19.17808219178082,35.61643835616438,35.61643835616438,8.219178082191782,1.36986301369863,0,31.95876288659794,64.94845360824742,3.0927835051546393,0,100,0,0,0,0,56.09756097560975,25.609756097560975,15.853658536585366,1.2195121951219512,1.2195121951219512
302134,1034,1,5,8,4,508,50804,1,0,0,74,69,72,63,53,56,71,49,0,0,270,237,507,546,130,548,539,7.100591715976331,39.64497041420118,53.25443786982248,0,0,0,19.841269841269842,23.80952380952381,56.34920634920635,0,0,0,9.923664122137405,22.900763358778626,67.17557251908397,0,0,0,12.5,33.333333333333336,54.166666666666664,0,0,0,11.627906976744185,46.51162790697674,41.86046511627907,9.090909090909092,50,40.90909090909091,9.090909090909092,54.54545454545455,36.36363636363637,2.3255813953488373,62.7906976744186,34.883720930232556,96.42857142857143,3.5714285714285716,0,0,0,97.63779527559055,2.3622047244094486,0,0,0,100,0,0,0,0,100,0,0,0,0,27.272727272727273,50.303030303030305,20.606060606060606,1.8181818181818181,0,56.15384615384615,29.23076923076923,14.615384615384615,0,0,76.61290322580645,20.161290322580644,3.225806451612903,0,0,82.5,15.833333333333334,1.6666666666666667,0,0
302117,1028,1,5,8,3,508,50803,1,0,0,25,35,35,36,47,36,45,36,0,0,152,143,295,290,255,291,283,0,4.3478260869565215,5.434782608695652,17.391304347826086,34.78260869565217,38.04347826086956,7.462686567164179,8.955223880597014,23.880597014925375,11.940298507462687,28.35820895522388,5.970149253731344,0,0,28.8135593220339,8.474576271186441,16.949152542372882,0,0,6.944444444444445,55.55555555555556,1.3888888888888888,0,13.88888888888889,18.29268292682927,48.78048780487805,32.926829268292686,12.068965517241379,17.24137931034483,70.6896551724138,5.555555555555555,20.37037037037037,74.07407407407408,4.918032786885246,27.868852459016395,67.21311475409836,90.3225806451613,9.67741935483871,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,73.40425531914893,26.595744680851062,0,0,0,55.072463768115945,28.985507246376812,15.942028985507246,0,0,19.642857142857142,80.35714285714286,0,0,0,7.8125,92.1875,0,0,0
309909,1016,1,5,8,1,508,50801,1,0,0,54,48,51,59,58,58,56,56,0,0,219,221,440,418,415,415,411,0,4.724409448818897,0,94.48818897637796,0,0,0,30.555555555555557,0,69.44444444444444,0,0,20.87912087912088,0,0,79.12087912087912,0,0,5.434782608695652,3.260869565217391,2.1739130434782608,5.434782608695652,36.95652173913044,46.73913043478261,51.2,42.4,6.4,89.7196261682243,10.280373831775702,0,7.6923076923076925,52.747252747252745,39.56043956043956,4.3478260869565215,59.78260869565217,35.869565217391305,97.61904761904762,2.380952380952381,0,0,0,94.39252336448598,5.607476635514018,0,0,0,97.8021978021978,2.197802197802198,0,0,0,100,0,0,0,0,51.61290322580645,29.838709677419356,18.548387096774192,0,0,87.61904761904762,12.380952380952381,0,0,0,85.55555555555556,14.444444444444445,0,0,0,91.30434782608695,8.695652173913043,0,0,0
309915,1017,1,5,8,1,508,50801,1,0,0,24,17,16,16,26,13,20,17,0,0,86,63,149,156,133,155,149,9.803921568627452,9.803921568627452,11.764705882352942,37.254901960784316,15.686274509803921,1.9607843137254901,10.256410256410257,10.256410256410257,7.6923076923076925,38.46153846153846,17.94871794871795,5.128205128205129,17.647058823529413,5.882352941176471,5.882352941176471,47.05882352941177,17.647058823529413,0,15.625,12.5,12.5,18.75,15.625,6.25,34.883720930232556,46.51162790697674,18.6046511627907,31.25,53.125,15.625,33.333333333333336,51.515151515151516,15.151515151515152,28,48,24,64.70588235294117,31.372549019607842,1.9607843137254901,1.9607843137254901,0,84.21052631578948,13.157894736842104,2.6315789473684212,0,0,91.17647058823529,8.823529411764707,0,0,0,78.125,21.875,0,0,0,55.10204081632653,38.775510204081634,6.122448979591836,0,0,71.42857142857143,20,8.571428571428571,0,0,76.47058823529412,17.647058823529413,5.882352941176471,0,0,58.064516129032256,32.25806451612903,9.67741935483871,0,0
501544,606,1,5,8,15,508,50815,1,0,0,37,44,45,54,42,39,42,43,0,0,166,180,346,290,272,294,282,9.722222222222221,11.11111111111111,0,50,29.166666666666668,0,9.090909090909092,6.0606060606060606,0,15.151515151515152,62.121212121212125,7.575757575757576,2.857142857142857,12.857142857142858,0,11.428571428571429,72.85714285714286,0,4.878048780487805,6.097560975609756,0,35.36585365853659,42.68292682926829,10.975609756097562,65.67164179104478,31.34328358208955,2.985074626865672,43.333333333333336,53.333333333333336,3.3333333333333335,3.076923076923077,32.30769230769231,64.61538461538461,3.75,52.5,43.75,70.83333333333333,29.166666666666668,0,0,0,75,23.529411764705884,1.4705882352941178,0,0,100,0,0,0,0,92.7710843373494,6.024096385542169,1.2048192771084338,0,0,50,33.8235294117647,16.176470588235293,0,0,0,10.9375,28.125,34.375,26.5625,36.61971830985915,57.74647887323944,5.633802816901408,0,0,26.582278481012658,60.75949367088607,12.658227848101266,0,0
301887,784,1,5,2,5,502,50205,1,0,0,45,32,40,35,35,43,38,41,0,0,158,151,309,317,305,314,300,17.346938775510203,21.428571428571427,8.16326530612245,13.26530612244898,25.510204081632654,11.224489795918368,0,2.4691358024691357,4.938271604938271,40.74074074074074,43.20987654320987,8.641975308641975,4.054054054054054,48.648648648648646,0,12.162162162162161,31.08108108108108,1.3513513513513513,10.9375,26.5625,0,26.5625,31.25,1.5625,23.157894736842106,55.78947368421053,21.05263157894737,31.16883116883117,49.35064935064935,19.48051948051948,12.857142857142858,77.14285714285714,10,34.92063492063492,63.492063492063494,1.5873015873015872,87.12871287128714,12.871287128712872,0,0,0,87.5,12.5,0,0,0,87.14285714285714,12.857142857142858,0,0,0,83.09859154929578,16.901408450704224,0,0,0,25.252525252525253,66.66666666666667,7.070707070707071,1.0101010101010102,0,69.6969696969697,28.78787878787879,1.5151515151515151,0,0,72.46376811594203,20.28985507246377,5.797101449275362,1.4492753623188406,0,80.3030303030303,12.121212121212121,4.545454545454546,3.0303030303030303,0
302175,1114,1,5,8,20,508,50820,1,0,0,69,82,67,56,58,48,61,65,0,0,255,251,506,439,431,452,436,7.936507936507937,28.571428571428573,24.603174603174605,6.349206349206349,1.5873015873015872,1.5873015873015872,0,9.090909090909092,27.272727272727273,3.0303030303030303,7.070707070707071,17.171717171717173,0,19.82758620689655,37.93103448275862,2.586206896551724,3.4482758620689653,15.517241379310345,0,12.244897959183673,41.83673469387755,0,0,17.346938775510203,22.65625,64.0625,13.28125,23.076923076923077,76.92307692307692,0,23.770491803278688,53.278688524590166,22.950819672131146,5.555555555555555,48.888888888888886,45.55555555555556,100,0,0,0,0,92.07920792079207,7.920792079207921,0,0,0,96.8,3.2,0,0,0,93.61702127659575,6.382978723404255,0,0,0,37.59398496240601,48.87218045112782,12.781954887218046,0.7518796992481203,0,56.70103092783505,30.927835051546392,12.371134020618557,0,0,91.30434782608695,8.695652173913043,0,0,0,73.62637362637362,26.373626373626372,0,0,0
